block 1000, total 26000, active 10786, size 12, leak 129432.
block 200, total 3200, active 1708, size 48, leak 81984.
block 32, total 21536, active 21523, size 340, leak 7317820.
block 1000, total 26000, active 10784, size 12, leak 129408.
block 1000, total 26000, active 10784, size 12, leak 129408.
block 200, total 4800, active 3096, size 48, leak 148608.
block 32, total 21504, active 21476, size 340, leak 7301840.
block 200, total 4600, active 3415, size 48, leak 163920.
block 32, total 21472, active 21465, size 340, leak 7298100.
block 1000, total 26000, active 10784, size 12, leak 129408.
block 200, total 5000, active 3345, size 48, leak 160560.
block 32, total 21504, active 21478, size 340, leak 7302520.
block 1000, total 26000, active 10860, size 12, leak 130320.
block 200, total 3200, active 1587, size 48, leak 76176.
block 32, total 21504, active 21480, size 340, leak 7303200.
block 1000, total 26000, active 10784, size 12, leak 129408.
block 200, total 3200, active 1586, size 48, leak 76128.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 26000, active 10856, size 12, leak 130272.
block 200, total 3200, active 1761, size 48, leak 84528.
block 32, total 21568, active 21539, size 340, leak 7323260.
block 1000, total 26000, active 11174, size 12, leak 134088.
block 200, total 3800, active 2714, size 48, leak 130272.
block 200, total 3000, active 1658, size 48, leak 79584.
block 32, total 21568, active 21555, size 340, leak 7328700.
block 1000, total 26000, active 11100, size 12, leak 133200.
block 200, total 5400, active 3743, size 48, leak 179664.
block 32, total 21536, active 21528, size 340, leak 7319520.
block 1000, total 26000, active 10867, size 12, leak 130404.
block 200, total 3200, active 1979, size 48, leak 94992.
block 32, total 21504, active 21491, size 340, leak 7306940.
block 1000, total 26000, active 10867, size 12, leak 130404.
block 200, total 6400, active 3551, size 48, leak 170448.
block 32, total 21536, active 21519, size 340, leak 7316460.
block 1000, total 26000, active 10913, size 12, leak 130956.
block 200, total 4800, active 1573, size 48, leak 75504.
block 32, total 21536, active 21529, size 340, leak 7319860.
block 1000, total 26000, active 11188, size 12, leak 134256.
block 200, total 7800, active 3433, size 48, leak 164784.
block 32, total 21568, active 21562, size 340, leak 7331080.
block 1000, total 27000, active 11985, size 12, leak 143820.
block 200, total 9800, active 3935, size 48, leak 188880.
block 32, total 21600, active 21569, size 340, leak 7333460.
block 1000, total 26000, active 10926, size 12, leak 131112.
block 200, total 5400, active 3561, size 48, leak 170928.
block 200, total 3000, active 1585, size 48, leak 76080.
block 32, total 21504, active 21490, size 340, leak 7306600.
block 1000, total 28000, active 12858, size 12, leak 154296.
block 32, total 21536, active 21530, size 340, leak 7320200.
block 1000, total 26000, active 11001, size 12, leak 132012.
block 1000, total 26000, active 10853, size 12, leak 130236.
block 200, total 3200, active 1582, size 48, leak 75936.
block 32, total 21536, active 21517, size 340, leak 7315780.
