表情索引,表情包索引,所在图片,所在位置,显示位置,图片大小
ID,PackId,ImageName,SourcePosition,TargetPosition,Size
1,1,ui\textures\1.tga,0;0;32;0;64;0;96;0;128;0;161;0,0;0,32;32
2,1,ui\textures\1.tga,0;32;32;32;64;32;96;32;128;32;161;32;193;32;224;32;0;64;32;64,32;0,32;32
3,1,ui\textures\1.tga,0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96;0;128;32;128,64;0,32;32
4,1,ui\textures\1.tga,0;160;32;160;64;160;96;160;128;160;160;160;192;160;224;160;0;192;32;192,96;0,32;32
5,1,ui\textures\1.tga,0;224;32;224,128;0,32;32
6,1,ui\textures\2.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32,160;0,32;32
7,1,ui\textures\2.tga,0;64;32;64;64;64;96;64;128;64;160;64;,0;32,32;32
8,1,ui\textures\2.tga,0;98;32;98;64;98;96;98;128;98;160;98;192;98;224;98;0;132;32;132,32;32,32;32
9,1,ui\textures\2.tga,0;164;32;164;64;164;96;164;128;164;160;164;192;164;224;164;0;192;32;192,64;32,32;32
10,1,ui\textures\2.tga,0;224;32;224,96;32,32;32
11,1,ui\textures\3.tga,0;0;32;0;64;0;96;0;128;0;160;0,128;32,32;32
12,1,ui\textures\3.tga,0;32;32;32;64;32;96;32;,160;32,32;32
13,1,ui\textures\3.tga,0;64;32;64;64;64,0;64,32;32
14,1,ui\textures\3.tga,0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96;0;128;32;128,32;64,32;32
15,1,ui\textures\3.tga,0;160;32;160;64;160;96;160,64;64,32;32
16,1,ui\textures\3.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224,96;64,32;32
17,1,ui\textures\4.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32,128;64,32;32
18,1,ui\textures\4.tga,0;64;32;64;64;64;96;64,160;64,32;32
19,1,ui\textures\4.tga,0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96;0;128;32;128,0;96,32;32
20,1,ui\textures\4.tga,0;160;32;160;64;160;96;160,32;96,32;32
21,1,ui\textures\4.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224,64;96,32;32
22,1,ui\textures\5.tga,0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96,96;96,32;32
23,1,ui\textures\5.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160,128;96,32;32
24,1,ui\textures\5.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224,160;96,32;32
25,1,ui\textures\6.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32,0;128,32;32
26,1,ui\textures\6.tga,0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96,32;128,32;32
27,1,ui\textures\6.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160,64;128,32;32
28,1,ui\textures\6.tga,0;192;32;192,96;128,32;32
29,1,ui\textures\6.tga,0;224;32;224,128;128,32;32
31,2,ui\textures\monkey01_01.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32;161;32;193;32;224;32;0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96,0;0,32;32
32,2,ui\textures\monkey01_01.tga,0;128;32;128;64;128;96;128;128;128;160;128,32;0,32;32
33,2,ui\textures\monkey01_01.tga,0;160;32;160;64;160;96;160;128;160;160;160;192;160;224;160,64;0,32;32
34,2,ui\textures\monkey01_01.tga,0;192;32;192;64;192;96;192,96;0,32;32
35,2,ui\textures\monkey01_02.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0,128;0,32;32
36,2,ui\textures\monkey01_02.tga,0;32;32;32;64;32;96;32;128;32;160;32,160;0,32;32
37,2,ui\textures\monkey01_02.tga,0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96,0;32,32;32
38,2,ui\textures\monkey01_02.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160;96;160,32;32,32;32
39,2,ui\textures\monkey01_02.tga,0;192;32;192;64;192;96;192;128;192;160;192,64;32,32;32
40,2,ui\textures\monkey01_02.tga,0;224;32;224;64;224;96;224,96;32,32;32
41,2,ui\textures\monkey01_03.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32;161;32;193;32;224;32;0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96,128;32,32;32
42,2,ui\textures\monkey01_03.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160;96;160;128;160,160;32,32;32
43,2,ui\textures\monkey01_03.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224;64;224;96;224;128;224;160;224;192;224;224;224,0;64,32;32
44,2,ui\textures\monkey01_04.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32;161;32;193;32;224;32;0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96;64;96;96;96,32;64,32;32
45,2,ui\textures\monkey01_04.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160,64;64,32;32
46,2,ui\textures\monkey01_04.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224,96;64,32;32
47,2,ui\textures\monkey01_05.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32;161;32;193;32;224;32;0;64;32;64;64;64;96;64;128;64,128;64,32;32
48,2,ui\textures\monkey01_05.tga,0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96;0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160,160;64,32;32
49,2,ui\textures\monkey01_05.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192,0;96,32;32
50,2,ui\textures\monkey01_06.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32,32;96,32;32
51,2,ui\textures\monkey01_06.tga,0;96;32;96;64;96;96;96;128;96;160;96,64;96,32;32
52,2,ui\textures\monkey01_06.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160;96;160;128;160;160;160;192;160;224;160,96;96,32;32
53,2,ui\textures\monkey01_06.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224;64;224;96;224;128;224;160;224;192;224,128;96,32;32
54,2,ui\textures\monkey01_07.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32,160;96,32;32
55,2,ui\textures\monkey01_07.tga,0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96;64;96;96;96;128;96;160;96;192;96,0;128,32;32
56,2,ui\textures\monkey01_07.tga,0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128;0;160;32;160;64;160;96;160;128;160;160;160;192;160;224;160,32;128,32;32
57,2,ui\textures\monkey01_07.tga,0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224;64;224;96;224;128;224;160;224,64;128,32;32
58,2,ui\textures\monkey01_08.tga,0;0;32;0;64;0;96;0;128;0;160;0;192;0;224;0;0;32;32;32;64;32;96;32;128;32,96;128,32;32
59,2,ui\textures\monkey01_08.tga,0;64;32;64;64;64;96;64;128;64;160;64;192;64;224;64;0;96;32;96;64;96;96;96;128;96;160;96;192;96;224;96;0;128;32;128;64;128;96;128;128;128;160;128;192;128;224;128,128;128,32;32
60,2,ui\textures\monkey01_08.tga,0;160;32;160;64;160;96;160;128;160;160;160;192;160;224;160;0;192;32;192;64;192;96;192;128;192;160;192;192;192;224;192;0;224;32;224;64;224;96;224,160;128,32;32
61,2,ui\textures\mk03.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
62,2,ui\textures\mk04.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
63,2,ui\textures\mk05.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
64,2,ui\textures\mk06.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,49;49
65,2,ui\textures\mk07.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,46;46
66,2,ui\textures\mk08.tga,0;0;52;0;104;0;156;0;208;0;318;0;371;0;424;0;477;0;530;0,583;0,47;47
67,2,ui\textures\mk09.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
68,2,ui\textures\mk10.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
69,2,ui\textures\mk11.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
70,2,ui\textures\mk12.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
71,2,ui\textures\mk13.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
72,2,ui\textures\mk14.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
73,2,ui\textures\mk15.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
74,2,ui\textures\mk16.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
75,2,ui\textures\mk17.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
76,2,ui\textures\mk18.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;47
77,2,ui\textures\mk19.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,43;47
78,2,ui\textures\mk20.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,43;52
79,2,ui\textures\mk21.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
80,2,ui\textures\mk22.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
81,2,ui\textures\mk23.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
82,2,ui\textures\mk24.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
83,2,ui\textures\mk25.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
84,2,ui\textures\mk26.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
85,2,ui\textures\mk27.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,50;52
86,2,ui\textures\mk28.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
87,2,ui\textures\mk29.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,53;52
88,2,ui\textures\mk30.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
89,2,ui\textures\mk31.tga,0;0;52;0;104;0;156;0;208;0;318;0;371;0;424;0;477;0;530;0,583;0,47;52
90,2,ui\textures\mk02.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,583;0,52;52
91,2,ui\textures\mk33.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,324;264,44;44
92,2,ui\textures\mk34.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,324;308,44;44
93,2,ui\textures\mk35.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;0,44;44
94,2,ui\textures\mk36.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;44,44;44
95,2,ui\textures\mk37.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;88,44;44
96,2,ui\textures\mk38.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;132,44;44
97,2,ui\textures\mk39.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;176,44;44
98,2,ui\textures\mk40.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;220,44;44
99,2,ui\textures\mk41.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;264,44;44
100,2,ui\textures\mk42.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,368;308,44;44
101,2,ui\textures\mk43.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;0,44;44
102,2,ui\textures\mk44.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;44,44;44
103,2,ui\textures\mk45.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;88,44;44
104,2,ui\textures\mk46.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;132,44;44
105,2,ui\textures\mk47.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;176,44;44
106,2,ui\textures\mk48.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;220,44;44
107,2,ui\textures\mk49.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;264,44;44
108,2,ui\textures\mk50.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,412;308,44;44
109,2,ui\textures\mk51.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;0,44;44
110,2,ui\textures\mk52.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;44,44;44
111,2,ui\textures\mk53.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;88,44;44
