ae,string,string,string,marea,int
±‡∫≈,«¯”Ú√˚◊÷,«¯”Ú“Ù¿÷,«¯”ÚLogo,«¯”Ú,µÿÕºid
ID,Name,Music,Logo,Area,ZoneId
179,$L:sn001_matou$,thematic,,"526 1847 649 1939;
534 1938 555 1942;
541 1941 555 1945;
552 1944 555 1947;
555 1938 649 1949;
520 1862 527 1936;
515 1870 521 1929;
576 1791 649 1848;
566 1947 650 2033;",43
180,$L:sn001_dadao$,wangcheng,,"357 1886 516 1912;
357 1911 375 1918;
361 1882 376 1887;
402 1911 419 1920;
477 1911 493 1920;",43
181,$L:sn001_shiji$,wangcheng,,"347 1791 362 1888;
361 1791 376 1883;
375 1791 516 1887;
515 1862 521 1871;
515 1847 527 1863;
515 1791 540 1848;
538 1791 577 1848;
313 1790 349 1843;",43
183,$L:sn001_qiandian$,wangcheng,,"402 1919 516 1971;
419 1911 478 1920;
492 1911 516 1920;
424 1970 444 1976;
465 1970 489 1975;",43
184,$L:sn001_yishitin$,wangcheng,,"402 1974 516 2032;
402 1970 425 1975;
443 1970 466 1975;
488 1970 516 1975;
515 1928 521 1936;
515 1935 527 1939;
515 1938 535 1942;
515 1941 542 1945;
515 1944 553 1947;
515 1946 556 1949;
515 1948 567 2032;",43
185,$L:sn001_shendian$,wangcheng,,"350 1917 403 2032;
374 1911 403 1918;
256 1938 351 2032;
226 1978 258 2032;",43
186,$L:sn001_qiao$,wangcheng,,"291 1887 358 1907;
351 1906 358 1918;
290 1842 349 1888;
290 1905 351 1939;",43
187,$L:sn001_gangshao$,wangcheng,,"186 1844 292 1930;
274 1928 293 1939;",43
188,$L:sn001_yingdi$,jiabulubu,,"54 1860 187 1987;
90 1986 187 2001;
134 2000 187 2026;
186 1929 228 2026;
227 1929 275 1943;
227 1942 257 1979;
42 1860 55 1962;
20 1860 43 1944;
-21 1860 21 1934;
-21 1849 138 1861;
-21 1840 108 1850;
-21 1835 70 1841;
-21 1825 40 1836;
-21 1792 40 1826;
-41 1792 -20 1910;
-72 1792 -40 1878;",45
189,$L:sn001_yuanshiyl$,jiabulubu,,"-257 1871 -169 1917;
-257 1857 -169 1872;
-257 1780 -169 1858;
-170 1780 -160 1915;
-161 1780 -150 1899;
-151 1791 -71 1894;
-83 1893 -40 1910;
-72 1877 -40 1894;
-90 1893 -82 1899;",45
190,$L:sn001_yexianglin$,jiabulubu,,"-60 1961 55 2013;
-21 1933 21 1962;
