typeid,posx,posy,dir
9292,137,29,0
9299,142,64,8
9299,149,64,8
9299,143,85,0
9299,149,85,8
9299,156,85,0
9299,135,108,8
9299,136,112,8
9299,168,101,0
9299,173,101,8
9299,170,122,0
9299,177,118,8
9299,174,123,0
9299,109,128,8
9299,119,121,0
9299,112,123,8
9299,127,137,0
9299,123,138,8
9299,165,146,0
9299,171,143,8
9301,186,97,14
9301,186,95,6
9301,188,92,14
9301,196,78,6
9301,200,77,14
9301,205,78,6
9301,214,97,14
9301,210,93,6
9301,208,96,14
9301,205,111,6
9301,200,107,14
9301,198,102,6
9301,215,133,14
9301,217,128,6
9301,211,130,14
9301,208,158,6
9301,208,146,14
9301,202,144,6
9301,199,130,8
9301,192,130,6
9300,39,184,8
9300,49,176,0
9300,53,182,8
9300,37,155,0
9300,44,150,8
9300,52,146,0
9300,49,126,8
9300,46,119,0
9300,54,117,8
9300,44,96,0
9300,49,91,8
9300,58,90,0
9300,79,106,8
9300,76,101,0
9300,82,96,8
9300,87,129,0
9300,91,127,8
9300,95,118,0
9300,76,155,8
9300,81,162,0
9300,103,177,8
9300,107,172,0
9300,113,167,8
9300,113,195,0
9300,119,189,8
9301,164,173,8
9301,155,168,0
9301,149,166,8
9301,149,190,8
9301,142,188,8
9299,138,150,8
9299,146,150,0
9299,128,175,8
9299,134,172,0
9293,139,213,8
9299,138,108,8
9301,126,255,8
9301,133,256,0
9301,141,256,8
9301,126,273,6
9301,136,273,0
9300,133,278,8
9300,133,298,8
9300,142,297,0
9300,193,336,8
9300,193,329,0
9300,187,332,8
9301,127,357,6
9301,135,357,14
9301,142,357,6
9300,162,337,8
9300,162,330,0
9300,162,322,8
9300,80,416,0
9300,83,409,8
9300,102,392,0
9300,176,400,2
9300,181,404,0
9300,181,396,8
9300,202,407,0
9300,206,401,8
9300,127,465,8
9300,132,459,0
9300,136,453,8
9301,109,391,8
9301,152,417,12
9301,211,408,8
9301,214,385,0
9301,218,382,8
9301,37,391,0
9301,41,387,8
9301,42,378,0
9301,88,415,8
9302,50,467,8
9302,56,467,0
9302,63,466,8
9302,102,441,0
9302,109,441,8
9302,115,439,0
9302,167,475,12
9302,167,469,12
9302,173,472,12
9302,195,478,12
9295,233,468,12
9302,228,471,10
9302,228,464,12
9302,217,478,10
9300,196,471,12
9300,197,487,12
9300,216,456,10
9300,203,446,12
9302,224,443,12
9302,201,450,14
9302,202,454,14
9302,219,483,10
9302,214,459,10
9302,226,446,12
9302,90,471,8
9302,86,464,0
9302,93,465,8
9302,133,428,0
9302,139,429,8
3326,152,100,4
9301,150,413,12
9301,148,409,14
9301,212,380,8
9292,182,455,0
9294,109,330,4
9297,220,391,12
9298,50,397,4
9303,145,470,9
9331,144,39,12
9332,144,35,12
