typeid,posx,posy,dir
10047,1512,-1480,12
5452,1394,-1480,12
10049,1468,-1474,4
10049,1472,-1499,2
10049,1469,-1448,2
10049,1452,-1503,4
10049,1461,-1504,2
10049,1456,-1511,4
10049,1424,-1488,4
10049,1460,-1486,2
10049,1459,-1472,2
10049,1467,-1483,2
10049,1420,-1480,4
10049,1426,-1474,4
10049,1453,-1454,2
10049,1452,-1445,4
10049,1460,-1449,4
10049,1471,-1511,4
10049,1481,-1507,4
10049,1492,-1500,4
10049,1493,-1515,4
10049,1482,-1490,4
10049,1476,-1479,4
10049,1482,-1468,4
10049,1468,-1457,4
10049,1481,-1452,4
10049,1490,-1459,4
10049,1492,-1444,4
10049,1435,-1503,4
10049,1433,-1486,4
10049,1433,-1476,4
10049,1435,-1456,4
10050,1407,-1480,4
