typeid,posx,posy,dir
9003,58,66,8
9003,70,59,10
9003,84,80,10
9003,97,59,12
9003,64,91,0
9003,133,51,12
9003,133,43,12
9003,176,43,10
9003,182,69,8
9003,191,69,0
9003,181,101,8
9003,188,101,8
9003,196,101,8
9003,218,140,12
9003,216,128,12
9003,178,145,4
9003,179,132,4
9003,197,161,8
9003,218,159,0
9007,209,171,8
9003,155,127,4
9003,156,115,4
9003,215,102,12
9003,125,47,12
9003,138,46,12
9003,64,63,10
9003,91,71,10
9003,166,48,10
9003,174,36,12
9003,158,185,6
9003,152,179,4
9004,122,192,4
9004,119,198,4
9004,118,189,6
9004,72,208,8
9004,75,204,0
9004,80,185,8
9004,86,183,0
9004,55,159,8
9004,43,165,0
9003,178,119,4
9003,216,120,12
9003,50,91,8
9004,95,204,8
9004,54,185,0
9004,97,198,8
9004,46,210,0
9004,44,215,8
9004,50,213,0
9004,45,156,8
9004,59,180,0
9004,61,188,8
9004,132,216,0
9004,141,218,8
9005,153,243,8
9005,163,237,0
9005,168,248,8
9005,169,280,0
9005,197,275,8
9005,175,284,0
9005,219,291,8
9005,212,293,0
9005,170,309,8
9005,175,308,0
9005,177,329,8
9005,200,339,0
9005,207,339,8
9005,212,340,0
9005,222,322,8
9005,218,321,0
9005,180,308,8
9005,206,276,0
9005,198,312,8
9005,201,311,0
9005,198,304,8
9005,42,239,8
9005,44,244,0
9005,47,239,8
9005,66,259,0
9005,60,260,8
9005,49,264,0
9005,42,289,8
9005,47,289,0
9005,51,289,8
9005,72,298,0
9005,69,303,8
9005,68,298,0
9005,92,303,8
9005,97,303,8
9005,100,299,0
9005,69,229,8
9005,65,232,0
9005,63,227,8
9005,88,223,8
9005,93,223,0
9005,31,348,8
9005,36,347,0
9005,36,343,8
9005,57,339,0
9005,67,348,8
9005,61,343,8
9005,60,373,0
9005,95,342,8
9005,106,340,0
9005,110,323,8
9005,106,322,0
9005,101,322,8
9005,80,333,0
9005,75,329,8
9005,81,327,0
9005,45,313,8
9005,51,316,0
9005,57,319,8
9005,59,368,8
9005,66,371,0
9001,53,30,0
9003,110,77,12
9003,108,70,10
9003,117,72,8
9004,101,173,0
9004,108,212,10
9014,49,386,8
9015,38,406,8
9005,29,436,8
9005,35,436,8
9005,35,452,8
9005,41,449,8
9005,52,464,8
9005,52,454,8
9005,54,458,8
9005,72,449,8
9005,69,446,8
9005,89,433,8
9005,89,424,8
9005,121,436,8
9005,121,432,8
9005,121,426,8
9005,121,421,8
9005,145,433,8
9005,162,424,8
9006,177,445,10
9001,193,462,10
