ae,string,string [1],string [2],marea,mpos,int
编号,名字,注释,目录,区域,复活点,Npc重生方式 0代表立即产生，并且重生。1代表立即产生但不重生。2代表不立即产生，但重生。3代表不立即产生，不重生
ID,Name,Comment,Directory,area,pos,nNpcRebirthType
27,$L:sn001_yuelongcun$,,yuelongcun/,"1024 1279 1652 1536;
1618 1533 1651 1577;
1648 1278 1663 1535;
1660 1277 1703 1477;
1664 1475 1676 1534;
1672 1476 1694 1486;
1703 1277 1719 1477;
1719 1279 1734 1473;
1734 1279 1861 1468;
1811 1467 2050 1472;
1858 1276 2055 1468;
1853 1471 2049 1509;
1863 1508 2049 1514;
1824 1469 1856 1501;
1883 1513 1967 1522;",1391 1395 6;,0
34,$L:sn001_sixingxianzhu$,,sixingxianzhu/,,,2
38,$L:sn001_sixingxianzhu$,,sixingxianzhu2/,,,2
39,$L:sn001_eguixia$,,eguixia/,"1279 984 1533 1280;
1278 734 1533 986;
1278 510 1533 736;",1309 799 8;,0
45,$L:sn001_mraschuansong$,,marschuansong/,1283 1310 1525 1472;,,2
46,$L:sn001_anledao$,,anledao/,"256 1023 768 1537;
767 1279 1025 1537;",629 1239 0;,0
47,$L:sn001_nanmingjiao$,,nanmingjiao/,"100 767 556 1024;
256 623 556 768;
23 1023 257 1269;",344 948 8;,0
48,$L:sn001_ziyundao$,,ziyundao/,"-257 1023 24 1269;
-257 1268 257 1537;
-257 767 101 1024;",-145 1014 5;,0
50,$L:sn001_simenshanxibu$,,simenshanxibu/,"1021 1796 1257 2050;
1255 1791 1537 2051;
1021 1534 1280 1797;
1278 1664 1376 1793;
1375 1751 1409 1792;",1359 1724 1;,0
51,$L:sn001_simenshan$,,simenshan/,"1278 1534 1376 1666;
1375 1534 1619 1752;
1408 1750 1620 1792;
1618 1575 2050 1793;
1649 1521 2049 1576;
1675 1485 1694 1522;
1693 1467 1825 1522;
1824 1500 1885 1524;
1966 1511 2049 1523;",1626 1749 8;,0
52,$L:sn001_chishendong$,,chishendong/,"1531 1041 1797 1280;
1795 945 2051 1281;
1765 1023 1799 1049;
1795 794 2050 946;",1781 1042 3;,0
53,$L:sn001_baimanshan$,,baimanshan/,"1531 808 1766 1042;
1764 798 1798 1024;
1531 510 1798 809;
1797 511 2050 796;",1570 575 4;,0
54,$L:sn001_ziyungong$,,ziyungong/,"-1026 1025 -766 1537;
-769 1023 -255 1282;
-771 767 -256 1024;
-1025 511 -511 769;",-571 1059 0;,0
55,$L:sn001_tongyedao$,,tongyedao/,555 624 1024 1025;,902 757 0;,0
56,$L:sn001_feihongdao$,,feihongdao/,255 256 541 625;,470 371 13;,0
57,$L:sn001_funiudao$,,funiudao/,540 256 1024 625;,790 401 5;,0
58,$L:sn001_yuelongzhalan$,,yuelongzhalan/,1336 1444 1348 1466;,,1
59,$L:sn001_yuelonggangchuansong$,,yuelonggangchuansong/,1347 1442 1356 1466;,,3
60,$L:kekechong$,,kekechong/,"1373 1340 1627 1590;
1653 1518 1925 1768;
291 1062 745 1436;
-259 906 153 1298;",,2
61,$L:huofengshi$,,huofengshi/,"1655 1529 1915 1769;
295 1057 731 1433;
-237 913 159 1289;
1375 1329 1623 1601;",,2
