ae,string,string,string,marea,mpos,int
编号,名字,注释,目录,区域,复活点,Npc重生方式 0代表立即产生，并且重生。1代表立即产生但不重生。2代表不立即产生，但重生。3代表不立即产生，不重生
ID,Name,Comment,Directory,area,pos,nNpcRebirthType
11,$L:sn001_lubu$,鲁部..,lubu/,"-517 2043 775 2307;
-273 2306 -135 2378;",137 2178 0;,0
12,$L:sn001_xiaorenguojia$,小人国贾部..,xiaorenguojia/,"-259 1890 257 2047;
-212 1789 28 1892;
25 1842 257 1892;
25 1825 108 1845;
107 1535 298 1846;
255 1842 296 1882;
25 1535 109 1828;
-256 1535 27 1792;
-515 1789 -209 1891;
-515 1888 -257 2049;",212 1896 5;,0
13,$L:sn001_xiaorenguowc$,小人国王城..,xiaorenguowc/,"294 1789 770 2053;
256 1879 296 2056;
295 1541 771 1791;",609 1899 0;,0
14,$L:kr_2013_Chrmax80$,韩国2013元旦圣诞活动..,kr2013ny80/,"-244 1797 264 2043;
-90 1609 280 1805;
-234 2051 288 2279;",,2
7,$L:sn001_guhuangyq$,古黄氏焱雀之地..,guhuangyq/,"-512 2306 -2 2561;
-529 2560 -2 2816;
-768 2560 -528 2725;
-600 2725 -528 2816;
-768 2725 -599 2759;
-671 2758 -599 2779;
-641 2778 -599 2797;",-316 2593 11;,0
8,$L:sn001_guhuangrh$,古黄氏锐虎之地..,guhuangrh/,"-1004 2817 -641 3329;
-760 2758 -670 2818;
-671 2778 -640 2818;
-642 2796 -599 2882;
-600 2815 -564 2882;
-642 2881 -589 3330;
-590 3138 -480 3329;",-725 2855 7;,0
9,$L:sn001_guhuangql$,古黄氏苍龙之地..,guhuangql/,"-481 2815 -2 3328;
-3 2982 48 3131;
47 3043 80 3101;
-565 2815 -480 2882;
-590 2881 -480 3139;",-402 2906 11;,0
10,$L:sn001_guhuangdg$,古黄氏澹龟之地..,guhuangdg/,"254 2982 511 3071;
-3 3130 255 3328;
79 2982 255 3131;
47 3100 80 3131;
47 2982 80 3044;
-3 2560 511 2983;","79 2851 11;
211 3115 11;",0
