model,speed,ride_pose
ride001,157,ride_s
ride002,157,ride_s
ride003,157,ride_s
ride003_10,157,ride_s
ride004,157,ride_s
ride004_a,205,ride_l
ride004_b,205,ride_l
ride004_c,205,ride_l
ride004_d,205,ride_l
ride004_a1,205,ride_l
ride004_b1,205,ride_l
ride004_c1,205,ride_l
ride004_d1,205,ride_l
ride005_a,150,ride_s
ride005_b,150,ride_s
ride005_c,150,ride_s
ride005_d,150,ride_s
ride005_a1,150,ride_s
ride005_b1,150,ride_s
ride005_c1,150,ride_s
ride005_d1,150,ride_s
ride007,157,ride_s
ride010_a1,180,ride_s
ride010_b1,180,ride_s
ride010_c1,180,ride_s
ride010_d1,180,ride_s
ride010_a2,180,ride_s
ride010_b2,180,ride_s
ride010_c2,180,ride_s
ride010_d2,180,ride_s
ride013_a1,180,ride_stand_walk
ride013_b1,180,ride_stand_walk
ride013_c1,180,ride_stand_walk
ride013_d1,180,ride_stand_walk
ride013_a2,180,ride_stand_walk
ride013_b2,180,ride_stand_walk
ride013_c2,180,ride_stand_walk
ride013_d2,180,ride_stand_walk
ride016a_1,,ride_s
ride016a_2,,ride_s
ride016a_3,,ride_s
ride016a_4,,ride_s
ride016b_1,,ride_s
ride016b_2,,ride_s
ride016b_3,,ride_s
ride016b_4,,ride_s
ride017_a,,ride_s
ride017_b,,ride_s
ride017_c,,ride_s
ride017_d,,ride_s
ride018_a,,ride_s
ride018_b,,ride_s
ride018_c,,ride_s
ride018_d,,ride_s
ride021_1,,ride_stand_walk
ride021_2,,ride_stand_walk
ride021_3,,ride_stand_walk
ride021_4,,ride_stand_walk
ride019a_1,,ride_s
ride019a_2,,ride_s
ride019a_3,,ride_s
ride019a_4,,ride_s
ride019b_1,,ride_s
ride019b_2,,ride_s
ride019b_3,,ride_s
ride019b_4,,ride_s
ride022_1,,ride_stand_walk
ride022_2,,ride_stand_walk
ride022_3,,ride_stand_walk
ride022_4,,ride_stand_walk
ride020_1,,ride_s
ride020_2,,ride_s
ride020_3,,ride_s
ride020_4,,ride_s
ride023a_1,,ride_s
ride023a_2,,ride_s
ride023a_3,,ride_s
ride023a_4,,ride_s
ride023b_1,,ride_s
ride023b_2,,ride_s
ride023b_3,,ride_s
ride023b_4,,ride_s
ride024a_1,,ride_s
ride024a_2,,ride_s
ride024a_3,,ride_s
ride024a_4,,ride_s
ride024b_1,,ride_s
ride024b_2,,ride_s
ride024b_3,,ride_s
ride024b_4,,ride_s
ride025_1,180,ride_stand_walk
ride025_2,180,ride_stand_walk
ride025_3,180,ride_stand_walk
ride025_4,180,ride_stand_walk
ride025_a,180,ride_stand_walk
ride025_b,180,ride_stand_walk
ride025_c,180,ride_stand_walk
ride025_d,180,ride_stand_walk
ride026_1,180,ride_stand_walk
ride026_2,180,ride_stand_walk
ride026_3,180,ride_stand_walk
ride026_4,180,ride_stand_walk
ride026_a,180,ride_stand_walk
ride026_b,180,ride_stand_walk
ride026_c,180,ride_stand_walk
ride026_d,180,ride_stand_walk
ride027_a,150,ride_s
ride027_b,150,ride_s
ride027_c,150,ride_s
ride027_d,150,ride_s
ride027_a1,150,ride_s
ride027_b1,150,ride_s
ride027_c1,150,ride_s
ride027_d1,150,ride_s
ride032,157,ride_s
ride032_a,205,ride_l
ride032_b,205,ride_l
ride032_c,205,ride_l
ride032_d,205,ride_l
ride032_a1,205,ride_l
ride032_b1,205,ride_l
ride032_c1,205,ride_l
ride032_d1,205,ride_l
ride029_1,,ride_s
ride029_2,,ride_s
ride029_3,,ride_s
ride029_4,,ride_s
ride028_a,,ride_s
ride028_b,,ride_s
ride028_c,,ride_s
ride028_d,,ride_s
ride027,,ride_s
ride027,,ride_s
ride027,,ride_s
ride027,,ride_s
ride099a_4,,ride_s
ride051_1,,ride_stand_walk
ride051_2,,ride_stand_walk
ride051_3,,ride_stand_walk
ride051_4,,ride_stand_walk
ride100_a,150,ride_s
ride100_b,150,ride_s
ride100_c,150,ride_s
ride100_d,150,ride_s
ride100_a1,150,ride_s
ride100_b1,150,ride_s
ride100_c1,150,ride_s
ride100_d1,150,ride_s
ride026a,180,ride_stand_walk
ride026b,180,ride_stand_walk
ride026c,180,ride_stand_walk
ride026d,180,ride_stand_walk
ride043_a2,180,ride_stand_walk
ride043_b2,180,ride_stand_walk
ride043_c2,180,ride_stand_walk
ride043_d2,180,ride_stand_walk
ride030_a1,205,ride_l
ride030_b1,205,ride_l
ride030_c1,205,ride_l
ride030_d1,205,ride_l
dsri007a_1,,ride_s
dsri007a_2,,ride_s
dsri007a_3,,ride_s
dsri007a_4,,ride_s
sodr001_a1,180,ride_stand_walk
sodr001_b1,180,ride_stand_walk
sodr001_c1,180,ride_stand_walk
sodr001_d1,180,ride_stand_walk
sodr001,157,ride_s
sodr002,157,ride_s
sodr003,157,ride_s
sodr003_10,157,ride_s
sodr004,157,ride_s
sodr005,157,ride_s
sodr006,157,ride_s
sodr006_10,157,ride_s
sodr007a_1,,ride_s
sodr007a_2,,ride_s
sodr007a_3,,ride_s
sodr007a_4,,ride_s
ride032_1,,ride_s
ride032_2,,ride_s
ride032_3,,ride_s
ride032_4,,ride_s
ride028_a,,ride_s
ride028_b,,ride_s
ride028_c,,ride_s
ride028_d,,ride_s
ride033_a,,ride_s
ride033_b,,ride_s
ride033_c,,ride_s
ride033_d,,ride_s
ride045_a,150,ride_s
ride045_b,150,ride_s
ride045_c,150,ride_s
ride045_d,150,ride_s
ride034_a,,ride_s
ride034_b,,ride_s
ride034_c,,ride_s
ride034_d,,ride_s
ride035_a1,205,ride_l
ride035_b1,205,ride_l
ride035_c1,205,ride_l
ride035_d1,205,ride_l
ride036_a2,180,ride_s
ride036_b2,180,ride_s
ride036_c2,180,ride_s
ride036_d2,180,ride_s
ride037,157,ride_s
ride038,157,ride_s
ride039,157,ride_s
ride039_10,157,ride_s
ride050_1,,ride_s
ride050_2,,ride_s
ride050_3,,ride_s
ride050_4,,ride_s
ride051a_1,,ride_s
ride051a_2,,ride_s
ride051a_3,,ride_s
ride051a_4,,ride_s
ride024b_black1,,ride_s
ride024b_black2,,ride_s
ride024b_black3,,ride_s
ride024b_black4,,ride_s
ride2001_01,,ride_stand_walk
ride2001_02,,ride_stand_walk
ride2001_03,,ride_stand_walk
