typeid,posx,posy,dir
9262,546,225,6
9262,556,-461,0
9264,637,-426,12
9264,641,-429,12
9264,647,-429,12
9264,667,-407,12
9264,670,-414,12
9264,674,-419,12
9264,692,-396,12
9264,699,-400,12
9264,703,-404,12
9264,701,-383,12
9264,709,-385,12
9264,716,-387,12
9256,723,-366,10
9264,697,-333,12
9264,702,-328,12
9264,706,-325,12
9264,687,-327,12
9264,687,-319,12
9264,688,-312,12
9264,672,-336,12
9264,668,-331,12
9264,664,-327,12
9265,646,-349,12
9265,644,-344,12
9265,646,-337,12
9265,614,-349,12
9265,614,-343,12
9265,619,-341,12
9265,594,-339,12
9265,598,-333,12
9265,602,-330,12
9265,579,-320,12
9265,588,-319,12
9265,594,-319,12
9265,588,-289,12
9265,594,-292,12
9265,599,-295,12
9265,605,-272,12
9265,609,-277,12
9265,611,-282,12
9265,623,-259,12
9265,625,-264,12
9265,631,-267,12
9247,667,-304,4
9266,602,-235,12
9266,603,-229,12
9266,605,-225,12
9266,576,-234,12
9266,578,-228,12
9266,579,-223,12
9266,545,-208,12
9266,551,-207,12
9266,557,-204,12
9266,548,-162,12
9266,553,-169,12
9266,558,-175,12
9266,590,-155,12
9266,586,-161,12
9266,584,-168,12
9266,647,-191,12
9266,650,-184,12
9266,654,-180,12
9266,602,-175,12
9266,604,-167,12
9266,605,-160,12
9266,718,-205,12
9266,729,-206,12
9266,718,-205,12
9259,683,-60,6
9267,611,-111,12
9267,609,-104,12
9267,614,-98,12
9267,570,-81,12
9267,576,-76,12
9267,583,-71,12
9267,553,-47,12
9267,558,-38,12
9267,565,-30,12
9267,591,-22,12
9267,596,-29,12
9267,601,-35,12
9267,614,-3,12
9267,624,-10,12
9267,631,-16,12
9267,637,-3,12
9267,579,-44,12
9267,582,-52,12
9267,573,-48,12
9267,609,-19,12
9260,616,10,12
9268,693,81,12
9268,697,88,12
9268,666,103,12
9268,676,107,12
9268,635,108,12
9268,632,120,12
9268,596,94,12
9268,596,107,12
9268,618,152,12
9268,625,143,12
9268,695,139,12
9268,696,124,12
9268,725,156,12
9268,734,154,12
9268,696,187,12
9268,694,199,12
9268,648,200,12
9268,651,208,12
9268,596,217,12
9268,594,223,12
9268,583,220,12
9250,551,217,0
9378,569,-455,0
9252,563,-455,0
