typeid,posx,posy,dir
8217,830,-1401,0
8220,950,-1452,0
8223,847,-1127,0
8230,776,-1199,0
8231,832,-1116,0
8232,726,-1120,0
8226,849,-1416,0
8227,910,-1396,0
8224,897,-1396,4
8225,845,-1426,10
8224,877,-1411,4
8225,879,-1410,4
8225,900,-1398,12
8224,881,-1385,10
8224,965,-1452,4
8224,969,-1428,2
8225,966,-1433,2
8225,907,-1413,0
8228,817,-1103,6
8228,881,-1192,14
8228,787,-1199,12
8228,821,-1100,8
8228,870,-1118,8
8228,880,-1188,12
8224,852,-1434,6
8228,816,-1094,8
8224,704,-1335,10
8224,695,-1337,10
8224,699,-1333,12
8224,689,-1332,6
8224,686,-1335,8
8224,690,-1336,12
8224,680,-1327,10
8224,681,-1332,10
8224,684,-1330,12
8224,699,-1321,10
8224,704,-1320,12
8224,702,-1326,10
8224,712,-1320,8
8224,708,-1318,8
8224,708,-1326,12
8224,697,-1309,10
8224,700,-1314,10
8224,690,-1315,10
8224,685,-1316,8
8224,629,-1144,10
8224,625,-1149,10
8224,631,-1151,6
8224,616,-1171,8
8224,617,-1174,6
8224,624,-1158,10
8224,630,-1165,6
8224,637,-1162,8
8224,623,-1175,10
8224,629,-1182,8
8224,636,-1175,8
8224,636,-1185,14
8224,640,-1183,4
8224,644,-1187,4
8224,641,-1192,12
8224,642,-1198,12
8224,642,-1205,8
8224,600,-1275,2
8224,598,-1269,6
8224,602,-1264,4
8224,597,-1261,6
8224,597,-1256,6
8224,586,-1252,10
8224,586,-1264,6
8224,580,-1266,4
8224,589,-1271,4
8224,589,-1277,4
8224,603,-1280,4
8225,706,-1329,8
8225,710,-1322,8
8225,698,-1317,8
8225,692,-1318,8
8225,685,-1318,8
8225,684,-1333,8
8225,679,-1330,8
8225,694,-1335,8
8225,698,-1324,8
8225,644,-1194,8
8225,639,-1187,8
8225,633,-1179,8
8225,633,-1167,8
8225,626,-1172,8
8225,619,-1172,8
8225,629,-1152,8
8225,647,-1188,8
8225,600,-1259,8
8225,585,-1258,8
8225,584,-1265,8
8225,586,-1271,8
8225,593,-1276,8
8225,600,-1279,8
8225,599,-1265,8
8225,596,-1282,8
8224,907,-1409,6
8224,938,-1423,10
8224,919,-1434,0
8224,922,-1434,14
8224,898,-1383,0
8225,966,-1455,12
8225,856,-1421,2
8225,844,-1422,10
8225,869,-1407,10
8225,901,-1382,10
8225,849,-1434,8
8228,786,-1189,12
8228,755,-1118,6
8228,755,-1123,4
8225,914,-1448,14
8225,917,-1451,2
8225,918,-1453,2
8225,919,-1456,0
8225,909,-1463,8
8225,904,-1461,14
8225,899,-1459,8
8225,919,-1458,2
8224,870,-1410,12
8225,899,-1380,4
8224,881,-1388,12
8225,909,-1411,8
8225,896,-1441,8
8225,936,-1437,8
8225,933,-1437,8
8225,937,-1434,4
8228,868,-1121,4
8228,872,-1122,12
8228,820,-1106,4
8229,778,-1117,4
8229,778,-1123,4
8229,875,-1167,8
8229,881,-1165,8
8229,831,-1190,12
8229,831,-1196,12
8229,785,-1194,10
8225,900,-1395,8
8225,878,-1414,0
8224,856,-1418,6
8224,846,-1424,10
8224,937,-1427,12
8224,934,-1408,8
8224,938,-1408,8
8225,918,-1445,0
8228,877,-1190,10
