typeid,posx,posy,dir
9627,-26,-110,6
14036,456,-213,12
14043,430,-223,6
14043,436,-223,6
14043,442,-223,6
14043,448,-223,6
14042,454,-223,6
14043,460,-223,6
14042,466,-223,6
14042,472,-223,6
14042,478,-223,6
14042,430,-217,6
14043,436,-217,6
14042,442,-217,6
14042,448,-217,6
14043,454,-217,6
14042,460,-217,6
14042,466,-217,6
14042,472,-217,6
14042,454,-184,6
14043,393,-174,8
14043,393,-170,8
14043,390,-178,8
14043,390,-174,8
14043,390,-170,8
14043,376,-127,12
14043,381,-127,12
14043,386,-127,12
14043,376,-123,12
14043,381,-123,12
14043,386,-123,12
14043,376,-119,12
14042,381,-119,12
14043,386,-119,12
14043,376,-116,12
14042,381,-116,12
14043,386,-116,12
14043,376,-113,12
14043,381,-113,12
14042,386,-113,12
14042,376,-110,12
14043,381,-110,12
14042,386,-110,12
14043,348,-104,12
14042,333,-104,12
14043,333,-100,12
14043,333,-096,12
14043,328,-104,12
14043,328,-100,12
14043,328,-096,12
14045,338,-137,12
14045,338,-141,12
14045,338,-145,12
14045,334,-137,12
14045,334,-141,12
14045,334,-145,12
14045,328,-145,12
14045,324,-137,12
14045,324,-141,12
14045,324,-145,12
14045,320,-137,12
14045,320,-141,12
14045,320,-145,12
14045,316,-137,12
14045,316,-141,12
14045,316,-145,12
