typeid,posx,posy,dir
14061,172,-129,12
14047,236,-118,12
14047,236,-122,12
14047,236,-125,12
14047,236,-129,12
14047,236,-132,12
14047,236,-135,12
14047,236,-138,12
14047,236,-141,12
14047,236,-144,12
14047,241,-118,12
14047,241,-122,12
14047,241,-125,12
14047,241,-129,12
14047,241,-132,12
14047,241,-135,12
14047,241,-138,12
14047,241,-141,12
14047,241,-144,12
14060,247,-131,12
14047,251,-119,12
14047,251,-122,12
14047,251,-125,12
14047,251,-129,12
14047,251,-132,12
14047,251,-135,12
14047,251,-138,12
14047,251,-141,12
14047,251,-144,12
14047,257,-144,12
14047,257,-141,12
14047,257,-138,12
14047,257,-135,12
14047,257,-132,12
14047,257,-128,12
14047,257,-125,12
14047,257,-122,12
14047,257,-118,12
