typeid,posx,posy,dir
14045,359,-456,12
14043,326,-456,12
14045,344,-430,12
14045,359,-447,12
14043,336,-435,12
14045,331,-452,12
14045,354,-456,12
14043,359,-463,12
14045,337,-467,12
14045,367,-453,12
14043,364,-446,12
14045,324,-438,12
14044,495,-428,12
14044,495,-424,12
14044,495,-420,12
14044,495,-416,12
14044,495,-412,12
14044,495,-408,12
14044,495,-404,12
14044,499,-428,12
14044,499,-424,12
14044,499,-420,12
14044,499,-416,12
14044,499,-412,12
14044,499,-408,12
14044,499,-404,12
14044,503,-428,12
14044,503,-426,12
14044,503,-424,12
14044,503,-422,12
14044,503,-420,12
14044,503,-418,12
14044,503,-416,12
14044,503,-414,12
14044,503,-412,12
14044,503,-410,12
14044,503,-408,12
14044,503,-406,12
14044,503,-404,12
14045,454,-421,12
14045,454,-426,12
14045,454,-431,12
14045,424,-416,12
14045,424,-421,12
14045,424,-426,12
14040,391,-389,8
14044,391,-361,8
14043,381,-295,8
14043,388,-295,8
14043,395,-295,8
14043,381,-315,8
14043,388,-315,8
14043,395,-315,8
