typeid,posx,posy,dir
8213,318,1429,0
8219,318,1435,4
8221,320,1438,4
10013,347,1374,0
10010,714,1474,0
10011,708,1484,0
10011,717,1481,0
10011,721,1467,0
10011,709,1467,0
10011,704,1841,0
10014,419,1187,12
10014,500,1182,12
10014,475,1193,8
10014,439,1205,4
10014,417,1225,14
10014,463,1210,10
10014,377,1269,8
10014,383,1279,4
10014,705,1415,6
10014,691,1404,14
10014,698,1382,14
10014,702,1369,8
10014,708,1402,2
10014,685,1347,2
10012,720,1382,4
10012,711,1366,8
10012,695,1346,6
10012,680,1328,12
10012,662,1313,0
10012,662,1124,8
10012,653,1146,8
10012,639,1119,8
10012,611,1139,8
10012,583,1132,12
10012,529,1140,12
10012,516,1146,4
10012,479,1160,4
10012,435,1173,12
10012,417,1177,4
10012,382,1189,4
10012,364,1216,4
10012,391,1210,6
10012,403,1195,12
10012,368,1225,12
10012,408,1211,8
10012,507,1162,4
10012,532,1179,6
10012,475,1177,8
10012,453,1177,12
10012,524,1161,8
10012,553,1146,4
10012,572,1158,14
10012,714,1417,8
10014,542,1196,2
10014,654,1319,8
10014,650,1339,8
10014,362,1248,14
10014,339,1330,10
10014,380,1229,8
10012,335,1319,12
10012,339,1307,12
10012,351,1310,8
10012,352,1274,8
10012,363,1271,2
10014,367,1366,12
10014,376,1366,14
10016,518,1278,4
10016,506,1272,8
10016,499,1270,12
10016,533,1302,8
10016,540,1314,8
10016,511,1347,4
10016,493,1354,8
10016,491,1287,12
10016,468,1288,4
10016,479,1317,4
10016,459,1344,8
10016,468,1352,8
10016,473,1376,4
10016,470,1374,8
10016,457,1393,14
10016,445,1410,4
10016,411,1414,12
10016,391,1375,2
10016,411,1350,2
10016,412,1349,4
10015,439,1424,6
10015,418,1421,12
10015,407,1419,6
10015,389,1422,12
10015,381,1420,8
10015,386,1391,14
10015,384,1372,2
10015,393,1351,4
10015,423,1365,8
10015,431,1355,12
10015,464,1372,0
10015,451,1303,8
10015,454,1309,8
10015,471,1326,12
10015,472,1318,10
10015,479,1287,4
10015,506,1292,4
10015,509,1306,4
10015,524,1341,2
10015,509,1334,12
10015,572,1338,6
10016,395,1420,8
10016,383,1426,14
10016,385,1414,4
10016,366,1395,0
10016,359,1397,8
10015,365,1390,12
10015,377,1382,12
10015,385,1383,8
10016,372,1381,4
10016,375,1387,14
10016,378,1392,0
10016,379,1371,4
10016,390,1386,12
10015,375,1406,14
10015,376,1415,12
10016,369,1412,12
10016,380,1401,14
10015,394,1368,4
10015,401,1373,12
10015,395,1380,4
10015,392,1406,8
10015,398,1413,8
10015,403,1404,4
10015,400,1391,12
10015,416,1384,10
10015,414,1396,12
10015,425,1406,8
10015,432,1387,0
10015,432,1413,4
10015,465,1356,12
10015,462,1348,4
10015,489,1348,8
10015,533,1313,14
10015,547,1318,6
10015,428,1371,0
10015,431,1377,8
10015,449,1389,8
10015,444,1376,8
10015,451,1354,8
10015,449,1365,8
10015,455,1373,4
10015,461,1383,8
10015,471,1383,2
10015,475,1366,8
10015,488,1366,8
10015,482,1358,12
10015,477,1350,8
10015,473,1337,2
10015,464,1333,8
10015,480,1330,2
10015,501,1343,8
10015,498,1336,8
10015,517,1343,8
10015,521,1332,8
10015,532,1326,8
10015,522,1317,4
10015,566,1325,4
10015,554,1308,12
10015,547,1294,0
10015,525,1300,8
10015,493,1302,8
10015,516,1285,8
10015,533,1284,8
10015,512,1270,2
10015,474,1301,8
10015,459,1317,8
10016,572,1331,8
10016,557,1316,8
10016,549,1326,8
10016,548,1310,8
10016,554,1302,8
10016,528,1309,8
10016,522,1309,8
10016,529,1319,8
10016,539,1322,8
10016,527,1333,8
10016,522,1325,8
10016,517,1310,8
10016,519,1337,8
10016,530,1339,8
10016,526,1328,8
10016,535,1295,8
10016,506,1339,8
10016,503,1333,8
10016,494,1342,8
10016,495,1332,8
10016,500,1350,8
10016,458,1351,8
10016,449,1348,8
10016,466,1360,8
10016,470,1367,8
10016,460,1368,8
10016,459,1377,8
10016,453,1367,8
10016,435,1370,8
10016,442,1382,8
10016,455,1379,8
10016,449,1397,8
10016,442,1393,8
10016,433,1396,8
10016,427,1397,8
10016,431,1406,8
10016,424,1421,8
10016,404,1410,8
10016,399,1398,8
10016,391,1400,8
10016,394,1392,8
10016,396,1361,8
10016,402,1357,8
10016,391,1358,8
10016,388,1365,8
10016,464,1321,8
10016,461,1328,8
10016,467,1310,8
10016,463,1304,8
10016,484,1301,8
10016,498,1318,8
10016,512,1317,8
10016,513,1292,8
10016,508,1280,8
10014,365,1349,14
10014,363,1333,12
10014,372,1341,14
10014,383,1340,8
10014,384,1325,8
10014,374,1313,2
10014,364,1313,0
10014,385,1309,8
10014,380,1296,8
10014,373,1284,0
10014,389,1289,14
10014,378,1257,12
10014,377,1246,10
10014,378,1238,14
10014,387,1236,8
10014,392,1224,8
10014,402,1227,8
10014,397,1242,0
10014,390,1254,8
10014,399,1265,2
10014,407,1254,14
10014,412,1240,6
10014,399,1284,4
10014,397,1301,14
10014,411,1291,8
10014,413,1274,2
10014,429,1273,0
10014,425,1255,0
10014,440,1263,2
10014,436,1247,0
10014,451,1252,2
10014,426,1235,10
10014,443,1232,8
10014,460,1232,12
10014,485,1226,8
10014,475,1211,8
10014,490,1208,12
10014,523,1204,8
10014,508,1207,14
10014,518,1189,8
10014,531,1186,0
10014,543,1174,8
10014,519,1171,8
10014,537,1168,0
10014,494,1167,12
10014,484,1188,8
10014,464,1186,8
10014,456,1196,8
10014,425,1204,8
10014,365,1263,0
10014,360,1297,10
10014,359,1281,4
10014,356,1320,4
10014,354,1347,8
10012,341,1357,14
10012,330,1339,14
10012,330,1361,0
10012,345,1340,2
10012,324,1324,8
10012,349,1324,8
10012,353,1290,8
10012,324,1304,2
10012,335,1291,2
10012,336,1274,2
10012,348,1256,8
10012,366,1239,8
10012,349,1239,14
10012,379,1217,8
10012,376,1206,8
10012,367,1201,12
10012,401,1181,8
10012,436,1184,8
10012,459,1161,8
10012,497,1157,8
10012,501,1144,8
10012,538,1150,8
10012,542,1128,8
10012,564,1121,4
10014,557,1163,8
10014,546,1140,8
