typeid,posx,posy,dir
5327,-227,2304,9
5327,-223,2304,9
5327,-218,2304,9
10003,-278,2215,5
8233,638,1886,0
6112,-277,2207,2
8235,230,2134,10
8235,221,2136,10
8235,218,2157,6
8235,229,2144,0
8235,242,2164,14
8235,228,2165,8
8235,242,2174,10
8235,243,2187,14
8235,228,2184,10
8235,213,2127,10
8235,-109,2131,10
8235,-125,2102,14
8235,-134,2112,10
8235,-145,2113,8
8235,-128,2133,8
8235,-147,2142,8
8235,-149,2129,8
8235,-172,2140,8
8235,-171,2122,8
8235,-183,2132,8
8235,-165,2131,4
8235,-154,2116,14
8235,-181,2116,2
8235,-160,2155,8
8235,-174,2158,6
8235,-181,2152,6
8235,-159,2145,6
8235,-140,2150,8
8235,-136,2123,8
8235,-110,2106,8
8235,-108,2114,10
8235,222,2170,8
8235,217,2184,8
8235,233,2154,8
8235,250,2182,14
8235,177,2201,2
8235,187,2195,0
8235,161,2173,0
8235,161,2181,8
8235,124,2227,8
8235,131,2227,8
8235,70,2177,0
8235,71,2186,8
8235,32,2247,4
8235,32,2237,4
8235,-116,2250,12
8235,-128,2250,4
8235,-128,2263,4
8235,-116,2263,12
8235,-126,2241,8
8235,-118,2241,8
