typeid,posx,posy,dir
8235,158,1948,8
8235,152,1936,4
8235,153,1940,6
8235,167,1942,8
8235,81,1932,8
8236,66,1649,14
8236,53,1666,6
8236,48,1679,6
8236,60,1691,8
8236,44,1656,6
8236,79,1643,8
8236,80,1669,8
8236,100,1647,8
8236,105,1644,10
8236,122,1651,12
8236,92,1688,14
8236,110,1669,12
8236,101,1704,12
8236,81,1710,0
8236,96,1670,12
8236,46,1700,0
8236,40,1713,4
8236,45,1723,6
8235,-133,1869,8
8235,-124,1860,4
8235,-144,1862,8
8235,-152,1855,6
8235,-127,1873,8
8235,-113,1856,8
8235,-111,1864,8
8235,-118,1873,8
8235,-143,1851,4
8235,-128,1847,8
8235,-111,1846,10
8235,-121,1847,6
8235,-101,1853,14
8235,-101,1873,8
8235,114,1890,12
8235,-42,1846,5
8235,-67,1832,8
8235,-58,1842,10
8235,-71,1849,8
8235,-61,1859,2
8235,-49,1857,8
8235,4,1826,14
8235,1,1828,8
8235,4,1829,8
8235,1,1831,10
8235,-3,1829,10
8235,-4,1832,10
8235,-20,1985,10
8235,-6,1970,14
8235,75,2031,10
8235,101,2016,8
8235,113,1996,12
8235,105,1998,12
8235,104,2010,12
8235,74,2026,8
8235,111,1968,4
8235,-144,1886,12
8235,-112,1808,8
8235,-116,1813,4
8235,-118,1818,8
8235,-109,1813,12
8235,69,2026,8
8235,80,2027,10
8235,103,2015,8
8235,110,1999,8
8235,-232,1865,0
8235,-247,1853,8
8235,-278,1884,4
8235,-273,1877,0
8235,-274,1903,8
8235,-272,1902,10
8235,-290,1900,8
8236,100,1655,8
8236,87,1675,8
8236,110,1684,8
8236,55,1687,8
8236,79,1655,8
8236,74,1641,8
8236,108,1649,8
8236,116,1665,8
8236,107,1697,8
8236,201,1654,8
8236,194,1651,8
8236,161,1646,8
8236,145,1650,8
8236,127,1639,8
8236,111,1632,8
8236,141,1652,8
8236,90,1629,8
8236,64,1631,8
8236,51,1636,8
8236,35,1629,8
8236,8,1626,8
8236,22,1632,8
8236,189,1735,8
8236,155,1775,8
8236,170,1761,8
8236,186,1759,8
8236,188,1770,12
8236,179,1750,10
8236,190,1753,12
8236,141,1736,8
8236,133,1752,8
8236,151,1714,8
8236,166,1710,8
8236,162,1702,6
8236,155,1728,8
8236,181,1707,8
8236,178,1771,6
8236,161,1765,6
8236,173,1740,6
8236,194,1701,10
8236,140,1723,6
8236,148,1745,6
8236,132,1743,8
8236,57,1714,14
8236,30,1694,2
8236,111,1692,10
8236,86,1682,4
8236,94,1694,8
8236,106,1660,14
8236,83,1653,2
8236,65,1653,8
8236,69,1664,8
8236,62,1659,6
8236,67,1671,6
8236,45,1649,8
8236,57,1680,8
8236,73,1687,8
8236,80,1696,8
8236,73,1698,6
8236,103,1680,8
8236,87,1716,8
8236,107,1711,8
8236,77,1703,8
8236,54,1670,8
8236,44,1661,8
8236,199,1650,6
8235,-134,1859,6
8235,-102,1821,12
8235,-109,1828,10
8235,-124,1829,8
8235,-116,1824,8
8235,-139,1819,8
8235,-140,1816,2
8235,-113,1831,6
8236,178,1645,8
8236,111,1628,6
8236,114,1629,6
8236,80,1630,6
8236,85,1629,4
8236,48,1632,4
8236,53,1633,2
8235,-48,1820,2
8235,-51,1823,4
8235,-49,1830,6
8235,-48,1832,6
8235,-10,1842,12
8235,-12,1845,8
8237,175,1889,8
8237,169,1876,12
8237,158,1887,10
8237,147,1869,8
8237,139,1871,10
8237,145,1884,10
8237,112,1854,8
8237,101,1858,4
8237,109,1870,4
8237,124,1873,4
8237,85,1853,4
8237,85,1861,10
8237,92,1866,8
8235,6,1988,8
8235,15,2006,8
8235,-5,2002,12
8235,-32,1988,12
8235,-20,1970,12
8235,-29,1940,2
8235,-12,1944,2
8235,-9,1957,2
8235,-26,1953,2
8235,-43,1961,8
8235,-39,1944,2
8235,-10,1991,2
8235,-25,2001,2
8235,-22,2004,8
8235,28,1996,8
8235,28,1989,14
8235,0,2013,14
8235,23,2013,8
8235,-119,1941,2
8235,-119,1944,2
8235,-119,1948,2
8235,-112,1945,10
8235,-112,1949,10
8235,-112,1941,10
8235,-149,1914,8
8235,-156,1942,8
8235,-151,1935,10
8235,-101,1971,2
8235,-110,1965,6
8235,-116,1971,10
8235,-110,1979,14
8235,-82,1904,14
8235,71,2020,8
8235,87,2015,12
8235,90,2001,12
8235,76,2012,10
8235,81,1995,8
8235,87,2008,12
8237,185,1894,0
8237,178,1886,0
8237,171,1891,0
8237,174,1877,0
8237,169,1879,0
8237,167,1884,0
8237,164,1881,0
8237,155,1876,0
8237,158,1884,0
8237,144,1882,0
8237,143,1876,0
8237,135,1881,0
8237,125,1879,0
8237,118,1875,0
8237,114,1871,0
8237,129,1874,0
8237,103,1857,0
8237,94,1862,0
8237,87,1859,0
8237,107,1859,0
8237,92,1859,8
8237,101,1862,8
8237,97,1866,8
8237,104,1861,8
8237,112,1864,8
8237,110,1878,8
8237,113,1875,8
8237,113,1870,8
8237,122,1880,8
8237,129,1877,8
8237,131,1874,8
8237,130,1883,8
8237,138,1878,8
8237,137,1874,8
8237,147,1874,8
8237,158,1876,8
8237,154,1885,8
8237,159,1882,8
8237,162,1878,8
8237,167,1876,8
8237,162,1886,8
8237,168,1881,8
8237,167,1891,8
8237,178,1887,8
8237,181,1890,8
8237,174,1894,8
8235,116,1874,8
8235,125,1876,2
8235,100,1875,10
8235,96,1896,6
8235,108,1862,2
8235,105,1853,2
8235,93,1859,2
8235,104,1859,14
8235,129,1875,14
8235,131,1883,2
8235,139,1877,2
8235,146,1877,14
8235,154,1876,14
8235,154,1883,10
8235,158,1878,12
8235,161,1885,4
8235,156,1894,0
8235,116,1868,2
8235,179,1889,2
8236,137,1665,0
8236,154,1665,4
8236,167,1656,2
8236,168,1669,2
8236,179,1662,2
8236,194,1664,14
8236,196,1672,14
8236,238,1829,14
8236,244,1830,14
8236,243,1835,14
8236,231,1829,14
8236,237,1833,14
8236,229,1834,8
8236,233,1836,8
8236,236,1838,8
8236,239,1840,8
8236,230,1838,8
8236,234,1841,8
8235,-25,1812,14
8235,-31,1812,14
8235,-22,1820,14
8235,-33,1821,14
8235,-19,1826,14
8235,-34,1827,14
8235,-13,1825,14
8235,-9,1829,10
8235,-35,1853,4
8235,-41,1838,4
8235,-16,1850,10
8235,-10,1836,9
8235,-18,1854,9
8235,-20,1857,0
8235,-29,1860,0
8235,-31,1849,0
8235,-21,1849,14
8235,-21,1841,14
8235,-32,1841,0
8235,-20,1833,14
8235,-33,1833,0
8235,109,1889,10
8235,121,1891,2
8235,61,2012,10
8235,70,1994,10
8235,82,1988,10
8235,92,1985,10
8235,101,1978,10
8235,78,2005,10
8235,48,2019,10
8235,66,2009,8
8235,80,1968,8
8235,93,1967,8
8235,84,1962,8
8235,78,1976,8
8235,68,1961,6
8235,78,1954,10
8235,-125,1836,8
8235,-105,1842,8
8235,-101,1828,8
8235,-117,1821,8
8235,-128,1842,8
8235,-139,1839,8
8235,-133,1840,8
8235,-113,1850,12
8235,-122,1841,8
8235,-112,1846,14
8235,-119,1846,14
8235,-122,1826,14
8235,-129,1826,14
8235,-104,1829,14
8235,-138,1817,14
8235,-141,1825,14
8235,-145,1832,14
8235,-117,1830,14
8235,-106,1848,14
8236,186,1761,8
8236,178,1770,8
8236,178,1749,8
8236,189,1741,8
8236,159,1759,8
8236,151,1772,8
8236,147,1757,8
8236,139,1775,8
8236,130,1760,8
8236,130,1744,8
8236,143,1731,8
8236,146,1713,8
8236,161,1711,8
8236,156,1724,4
8236,162,1704,4
8236,184,1704,4
8236,178,1739,2
8236,230,1714,2
8236,225,1756,2
8236,231,1721,8
8236,193,1705,8
8236,182,1710,8
8236,187,1754,8
8236,168,1766,8
8236,182,1766,8
8236,154,1767,8
8236,167,1756,4
8236,138,1745,4
8236,148,1724,4
8236,139,1719,4
8236,154,1712,4
8236,145,1771,4
8236,113,1779,4
8236,106,1770,4
8236,122,1672,12
8236,98,1713,8
8236,88,1736,8
8236,101,1738,8
8236,87,1690,8
8236,93,1663,8
8236,131,1677,8
8236,148,1679,8
8236,161,1661,8
8236,187,1665,8
8236,186,1654,8
8236,122,1647,8
8236,108,1705,8
8236,5,1747,0
8236,6,1757,2
8236,19,1757,2
8236,25,1765,4
8236,36,1757,4
8236,48,1766,4
8236,57,1755,4
8236,59,1765,4
8236,-25,1708,4
8236,-18,1713,4
8236,-13,1712,4
8236,-18,1719,4
8236,-37,1694,4
