typeid,posx,posy,dir
8214,560,1825,0
8215,128,2262,0
8243,586,1898,12
8246,581,1915,8
8245,530,1947,4
5666,473,1866,8
5664,446,1866,8
5661,459,1840,12
5660,456,1837,0
4511,402,1844,0
5033,433,1865,8
415,384,1857,4
8236,526,1919,4
8236,557,1913,6
8236,558,1927,10
8236,529,1921,10
8236,549,1915,0
8236,551,1917,12
8236,538,1864,0
8236,542,1865,12
8236,552,1872,14
8236,554,1876,10
8236,528,1874,0
8236,527,1878,6
8236,544,1938,8
8236,535,1936,6
8238,300,1993,2
8238,305,1993,14
8238,315,1995,0
8238,321,1995,0
8238,326,1995,0
8238,332,1995,0
8238,337,1995,0
8238,337,2004,8
8238,332,2004,8
8238,326,2004,8
8238,321,2004,8
8238,315,2004,8
8236,541,1912,8
8236,565,1913,8
8236,558,1914,8
8236,548,1884,8
8236,538,1886,8
8236,559,1885,0
8236,567,1881,0
8236,560,1893,0
8236,560,1901,6
8236,560,1935,6
8236,572,1935,10
8236,527,1928,6
8236,549,1921,6
8236,539,1906,6
8236,541,1895,6
8236,528,1905,6
8236,529,1895,2
8236,561,1863,2
8236,573,1865,2
8236,575,1854,2
8238,530,1969,0
8238,523,1966,0
8238,538,1961,0
8238,541,1953,0
8238,519,1957,0
8238,518,1950,0
8238,527,1948,6
8238,531,1949,6
8236,493,1893,10
8236,506,1903,12
8236,490,1904,12
8236,470,1893,10
8236,466,1927,12
8236,476,1939,12
8236,477,1949,12
8236,465,1955,10
8236,453,1961,10
8236,468,1998,10
8236,457,2011,10
8236,506,2001,10
8236,388,1963,15
8236,385,1996,3
8236,384,2008,5
8236,396,2020,11
8236,388,1994,12
8236,389,1967,8
8236,394,2017,2
8236,388,2008,14
8236,466,2000,4
8236,461,2012,12
8236,508,1998,14
8236,464,1927,3
8236,474,1940,3
8236,476,1943,5
8236,475,1950,3
8236,450,1958,3
8236,463,1957,5
8236,454,1956,13
8236,462,1886,1
8236,450,1885,1
8236,462,1873,15
8236,462,1878,15
8236,449,1871,15
8236,450,1877,15
8236,486,1905,1
8236,500,1904,3
8236,468,1893,3
8236,465,1899,8
8236,485,1897,8
8236,385,1978,2
8236,397,1977,14
8236,394,1979,6
8236,450,1928,8
8236,435,1946,8
8236,452,1943,8
8236,445,1925,2
8236,457,1937,14
8236,432,1943,2
8236,447,1941,2
8236,471,1946,4
8236,501,1991,0
8236,447,1997,4
8236,366,1965,8
8236,363,1961,14
8236,436,1955,10
8236,431,1930,2
8236,441,1964,6
8236,512,1997,12
8236,363,1995,4
8236,363,2005,4
8236,505,1991,10
8236,360,1941,14
8236,346,1969,10
8236,347,1957,14
8236,360,1945,8
8236,342,1959,4
8236,342,1966,2
8236,458,1900,8
8236,475,1905,10
8236,463,1920,14
8236,552,1879,8
8236,568,1858,8
8236,574,1923,8
8236,546,1905,8
8236,546,1891,8
8236,533,1903,8
8236,533,1891,8
8236,532,1878,8
8236,532,1878,8
8238,537,1970,14
8238,532,1974,14
8238,517,1966,0
8238,528,1976,12
8238,522,1971,2
8238,519,1975,2
8238,525,1981,10
8238,539,1965,12
8238,520,1961,0
8238,515,1969,0
8238,514,1972,0
8238,369,1992,4
8235,-91,1960,14
8235,-210,2112,2
8235,-195,2151,0
8235,-186,2155,8
8235,-194,2144,8
8235,-176,2149,8
8235,-197,2137,8
8235,-203,2131,8
8235,-203,2131,8
8235,-163,2148,8
8235,-151,2152,8
8235,-149,2120,8
8235,-158,2112,8
8235,-172,2110,8
8235,-181,2112,8
8236,396,1962,12
8236,394,1953,0
8238,318,1997,0
8238,306,1988,0
8238,302,2010,0
8238,313,2011,0
8238,325,2009,0
8238,328,1987,0
8244,290,1999,4
8247,326,1962,4
8248,541,1920,0
8249,541,1877,0
