程序导标记，不用翻译,,
ID,Name,Desc
1230,Increase Mana Recovery Speed,increase master's mana recovery speed $EffParam1$ points per second in battle state.
2047,Energy Increase (Hamadryad Hierogram),"in $EffParam2$ hours, earn extra $EffParam1$% energy from monster killing"
2048,Experience Increase (Vivid Spell),"in $EffParam2$ hours, increase $EffParam1$% experience from monster killing"
2049,Energy Increase,"in $EffParam2$ hours, earn extra $EffParam1$% energy from monster killing"
2050,Experience Increase,"in $EffParam2$ hours, increase $EffParam1$% experience from monster killing"
2339,Consciousness of Racer (no mount),
2340,Blossom,"increase experience and energy by 200%, lasts 30 minutes"
2351,Flaming,burn combustible materials
2352,Love Symbol,
2353,Black Wind Camp Newbie,
2354,Laurel Wonderland Newbie,
2355,Fantasy Palace Newbie,
2400,Carol Pill of Strength,increase $EffParam2$ Strength
2401,Carol Pill of Dexterity,increase $EffParam2$ Dexterity
2402,Carol Pill of Intelligence,increase $EffParam2$ Intelligence
2403,Carol Pill of Vitality,increase $EffParam2$ Vitality
2404,Carol Pill of Speed,increase $EffParam2$% move speed
2405,Carol Pill of All,"increase 500 HP, 20 Strength, 20 Dexterity, 20 Intelligence and 20 Vitality"
2406,Adv. Carol Pill of All,"increase 1000 HP, 30 Strength, 30 Dexterity, 30 Intelligence, 30 Vitality and 10% move speed"
5000,Reduce Aggro (Mercy Flow),reduce aggro greatly temporarily; aggro recover when effect ends
1,Thunder,
2,Thunder,
3,Thunder,
4,Soul,
5,Soul,
6,Healing,"increase 250 HP, lasting 10 seconds"
7,Wounding,cause damage lasting for 10 seconds
8,Wounding,cause damage lasting for 10 seconds
9,Slow,speed slow down 50%
10,Add Strength Temp,"increase strength 10 points, lasting for 3 minutes"
11,Maximize Mana Temp,"increase mana upper limitation 500 points, lasting for 6 minutes"
12,Burning,fire cause damage lasting for 15 seconds
13,Healing (lvl 1),"increase 10 HP per second, lasting 15 seconds"
14,Mana Recovery (lvl 1),"increase 16 mana per second, lasting 15 seconds"
15,Maximize HP,increase master's upper limitation of HP $EffParam1$ points
16,Increase Mana Recovery Speed,increase master's mana recovery speed $EffParam1$ points per second  in non-battle state
17,Maximize Mana,increase master's mana upper limitation $EffParam1$ points
18,Increase HP Recovery Speed,increase master's HP healing speed $EffParam1$ points per second in non-battle state
31,Faint (Thunder Faint),"target faint for 5 seconds, recovered when be attacked"
32,Lightning Weakness (Lightning Slice),lightning attack cause target $EffParam1$ points extra damage
33,Buddha Weakness (Golden Lotus),buddha attack cause target $EffParam1$ points extra damage
34,Poison (Golden Lotus),"cause target $EffParam1$ poison damage in every 2 seconds, lasting 10 seconds"
35,Heal (Cure Spell),"increase target $EffParam1$ HP in every 2 seconds, lasting 10 seconds"
36,Maximize HP (Sun Needle),increase target HP upper limitation $EffParam1$ points
37,Dizziness (Cloud Dimming),target dizzy for 3 seconds
38,Slow (Cloud Balk),target speed down for 10 seconds
39,Poison (Cloud Balk),"cause target $EffParam1$ poison damage in every 2 seconds, lasting 10 seconds"
40,Damage Lasting (Purple Smoke),"cause target $EffParam1$ damage in every 2 seconds, lasting 10 seconds"
41,Revive (Purple Crystal),target $EffParam1$% chance to revive
42,Absorb Damage (Purple Shield),absorb damage $EffParam1$ points in 60 seconds
43,Slow (Lightning Chain),target speed down $EffParam1$%
44,Attack Increase (Storm Power),attack increase $EffParam1$ points
100,Healing (lvl 2),"increase 16 HP per second, lasting 15 seconds"
101,Mana Recovery (lvl 2),"increase 24 mana per second, lasting 15 seconds"
102,Healing (lvl 3),"increase 24 HP per second, lasting 15 seconds"
103,Mana Recovery (lvl 3),"increase 36 mana per second, lasting 15 seconds"
