程序导标记，不用翻译,,
STRID,LAN,Remark
consign_copper,Copper,
consign_desc_1,"You can release / accept commitments 3 times respectivley at most per day.   To release commitment, players must reach level 15; to accept commitment, players must reach level 30.",
consign_desc_2,"Quest Commitment Release Rules:

1. Players of level 26 and above can be released for commitment.

2. Guild Quest (offered by The Statue of Sword) and the quest offered by  can be commited.

3. It costs 1 silver to release quest.

4. 3 quests can be released at most per day. (no matter the quest is finsihed or cancelled)

5. You must accept the quest you need to release before you release it.

6. The commited quest will be marked in the quest list.

7. If you kill the monster required by the commited quest, the killing can be calcualated but you cannot report this quest until its commitment ends.

Quest Commitment & Accept Rules:

1. Players of level 31 and above can accept committed quest.

2. 3 committed quests can be accepted at most per day.  You can only accept one committed quest each time.  (no matter you finish it or not)

3. You can check details before accepting the quests.

4. You need to pay 1 Gold as commission.

   (1) The commission will be sent back to you if you finish the quest within time.

   (2) If you fail to finish the quest, the commission will not be returned to you.

5. You will get system rewards via mail after you've finished the quest.",
consign_gold,Gold,
consign_hour,Hour,
consign_min,Minute,
consign_msg_1,No Available Commitment,
consign_msg_10,Commitment reward cannot be blank.,
consign_msg_11,Today's released commitment number: 0,
consign_msg_2,This item cannot be used as reward.,
consign_msg_3,You have no enough money to release this commitment.,
consign_msg_4,You cannot accept commitment until you reach level %d.,
consign_msg_5,You cannot cancel commitment until you reach level %d.,
consign_msg_6,You cannot release commitment until you reach level %d.,
consign_msg_7,Commitment quest cannot be blank.,
consign_msg_8,Commitment period cannot be blank.,
consign_msg_9,The rewards for commitments can not exceed 2000G.,
consign_msg_title,Hint,
consign_sec,Second,
consign_silver,Silver,
consign_state_1,Acceptable,
consign_state_2,Released,
consign_state_3,Ongoing,
consign_state_4,To Finish,
consign_state_5,To Check,
consign_tasklev_0,Common,
consign_tasklev_1,Elite,
consign_tasklev_11,Scenario,
consign_type1,Scenario,
consign_type2,Quest,
dead_state_info1,"In defeated status, you cannot enhance Talisman now.",
gemstone_inlay_info1,Holes can be created : 0,
gemstone_inlay_info2,Money Consumed: 0,
gemstone_inlay_info3,Holes can be created: ,
gemstone_inlay_info4,Money Consumed: 0,
gemstone_inlay_info5,No Equipment,
gemstone_inlay_info6,No Gem,
gemstone_inlay_info7,Please select the hole from which to take out the gem.,
gemstone_inlay_info8,No gem in the selected hole.,
gemstone_inlay_units_copper,Copper,
gemstone_inlay_units_golden,Gold,
gemstone_inlay_units_sliver,Silver,
GUILD_REGISTER,Register to Enter Guild,
KR_IPCHECK_L001,[no_use],
login_forbid01,"You are not allowed to log in now, please contact GM (1)",
login_forbid02,"You are not allowed to log in now, please contact GM (2)",
login_forbid03,"You are not allowed to log in now, please contact GM (3)",
login_geting_serverlist,Loading Server List...  Please wait!,
msg_adms_bh_buddha_skill,Fairy Buddha Talisman,
msg_adms_bh_buddha_skill_1,"The skills below can be upgraded by enhancing Talisman:

White Lotus: Primary Skill

Blue Lotus: Primary Skill

Golden Lotus: Can be activated when Talisman reaches level 7.

Red Lotus:Can be activated when Talisman reaches level 15.",
msg_adms_bh_lightning_skill,Fairy Lightning Talisman ,
msg_adms_bh_lightning_skill_1,"The skills below can be upgraded by enhancing Talisman:

Lightning Slice: Primary Skill

Sheen Slice: Primary Skill

Thunder Faint: Can be activated when Talisamn reaches level 10.

Lightning Chain: Can be activated when Talisamn reaches level 20.",
msg_adms_em_fire_skill,Wizard Fire Talisman,
