ID,Name,Desc,Remark
3575,Dodge Magicstone (lvl 1),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3576,Dodge Magicstone (lvl 2),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3577,Dodge Magicstone (lvl 3),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3578,Dodge Magicstone (lvl 4),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3579,Dodge Magicstone (lvl 5),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3580,Dodge Magicstone (lvl 6),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3581,Dodge Magicstone (lvl 7),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3582,Dodge Magicstone (lvl 8),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3583,Dodge Magicstone (lvl 9),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3584,Dodge Magicstone (lvl 10),"Can be socketed on Talisman or Defense Gear, increase the value of Dodge.",
3585,C.S. Magicstone (lvl 1),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3586,C.S. Magicstone (lvl 2),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3587,C.S. Magicstone (lvl 3),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3588,C.S. Magicstone (lvl 4),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3589,C.S. Magicstone (lvl 5),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3590,C.S. Magicstone (lvl 6),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3591,C.S. Magicstone (lvl 7),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3592,C.S. Magicstone (lvl 8),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3593,C.S. Magicstone (lvl 9),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3594,C.S. Magicstone (lvl 10),"Can be socketed on Talisman or Defense Gear, increase the value of C.S.",
3595,Block Magicstone (lvl 1),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3596,Block Magicstone (lvl 2),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3597,Block Magicstone (lvl 3),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3598,Block Magicstone (lvl 4),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3599,Block Magicstone (lvl 5),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3600,Block Magicstone (lvl 6),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3601,Block Magicstone (lvl 7),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3602,Block Magicstone (lvl 8),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3603,Block Magicstone (lvl 9),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
3604,Block Magicstone (lvl 10),"Can be socketed on Talisman or Defense Gear, increase the value of Block.",
5000,Woofi Grass,Quest item.,
5001,Cure Cream,Quest item.,
5002,Cold Fragrant Pill,Quest item.,
5003,Happy Powder,Quest item.,
5004,Happy Powder,,
5005,Tool Box,Quest item.,
5006,Sky Jade Sword,Quest item.,
5007,Pole Stone,Quest item.,
5008,Yang Needle,,
5009,Four Leaf Red Lotus,Quest item.,
5010,Secret Golden Drug,Quest item.,
5011,Lustration Powder,,
5012,Wild Fruit,Quest item.,
5013,Fish,Quest item.,
5014,Fresh Fish,Quest item.,
5015,Bamboo Pole,Quest item.,
5016,Pheasant,Quest item.,
5017,Grain Bag,Quest item.,
5018,Chicken Soup,Quest item.,
5019,Lantern,,
5020,Bell,Quest item.,
5021,Candied Hawthorn,Quest item.,
5022,Pinwheel,Quest item.,
5023,Fireworks,Quest item.,
5024,Poisonous Feather,Quest item.,
5025,Hairpin,Quest item.,
5957,Large Emerald Chest,Open it to gain 5 pieces of Large Emerald.,
5958,[no_use],[no_use],
5996,[no_use],[no_use],
5997,[no_use],[no_use],
5998,[no_use],[no_use],
6004,[no_use],[no_use],
6005,Speedy White Tiger,A mount with speed +50%.  It can not be combined to upgrade its Plus Rank.,
6006,Pet Master Token (3 hours),"You will gain a BUFF after using the token.  With the BUFF, the happy value of your summoned little pet will not be decreased.",
6007,Numen Grass,,
6008,Phoenix Jackstraw,,
6009,Elite Energy Stone,,
6010,Essence of Grand Datura Flower,Evil thing stuffed with cursed power from Grand Datura Flower.,
6011,Essence of Dragon Snake,Evil thing stuffed with cursed power from Dragon Snake.,
6012,[no_use],[no_use],
6013,[no_use],[no_use],
6014,[no_use],[no_use],
6015,[no_use],[no_use],
6016,[no_use],[no_use],
6017,[no_use],[no_use],
6018,[no_use],[no_use],
6019,[no_use],[no_use],
6020,[no_use],[no_use],
6021,[no_use],[no_use],
6027,[no_use],[no_use],
6028,[no_use],[no_use],
6029,[no_use],[no_use],
6030,[no_use],[no_use],
6031,[no_use],[no_use],
6032,[no_use],[no_use],
6033,[no_use],[no_use],
6034,[no_use],[no_use],
6035,[no_use],[no_use],
6036,[no_use],[no_use],
6037,[no_use],[no_use],
6038,[no_use],[no_use],
6039,[no_use],[no_use],
6040,[no_use],[no_use],
6041,Rapid Healing Potion (lvl 5),"Recover 1350 HP instantly, need 3 minutes cooling time.",
6042,Rapid Mana Potion (lvl 5),"Recover 1350 Mana instantly, need 3 minutes cooling time.",
6043,Large Gem Pack,Use it to get one Large Emerald and one Large Ruby.,
6044,[no_use],,
6045,[no_use],,
6046,[no_use],,
6047,[no_use],,
6048,[no_use],[no_use],
6049,[no_use],[no_use],
6050,[no_use],[no_use],
6051,[no_use],[no_use],
6052,[no_use],[no_use],
6053,[no_use],[no_use],
6054,[no_use],[no_use],
6055,[no_use],[no_use],
6056,Chip of Medium Emerald,,
6057,Chip of Medium Ruby,,
6058,[no_use],[no_use],
6059,[no_use],[no_use],
6060,[no_use],[no_use],
6061,[no_use],[no_use],
6062,[no_use],[no_use],
6063,[no_use],[no_use],
6064,[no_use],[no_use],
6065,[no_use],[no_use],
6066,[no_use],[no_use],
6067,[no_use],[no_use],
6068,[no_use],[no_use],
6069,[no_use],[no_use],
6070,[no_use],[no_use],
6071,[no_use],[no_use],
6072,[no_use],[no_use],
6073,[no_use],[no_use],
6074,[no_use],[no_use],
6075,[no_use],[no_use],
6076,[no_use],[no_use],
6077,[no_use],[no_use],
6078,[no_use],[no_use],
6079,[no_use],[no_use],
6080,[no_use],[no_use],
6081,[no_use],[no_use],
6082,[no_use],[no_use],
6083,[no_use],[no_use],
6084,[no_use],[no_use],
6085,Meta Scroll of Tiger Handsome,Use it to get a metamorphosis BUFF.  Only for male character.,
6086,Meta Scroll of Tiger Beauty,Use it to get a metamorphosis BUFF.  Only for female character.,
6087,Bravo Tiger Pack,Open it to gain Mount Bravo Tiger with Plus Rank +7 (7 days).,
6088,[no_use],[no_use],
6089,Small Gem Pack,Use it to get one Small Emerald and one Small Ruby.,
6090,[no_use],[no_use],
6091,[no_use],[no_use],
6092,[no_use],[no_use],
6093,[no_use],[no_use],
6094,[no_use],[no_use],
6095,Bravo Tiger,Summon Bravo Tiger to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6096,Fancy Fox,Summon Fancy Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6097,Secret Fox,Summon Secret Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6098,Golden Dragon,Summon Golden Dragon to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6099,Cyan Dragon,Summon Cyan Dragon to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6100,Blue Whorl Chest,,
6101,Exp. Card,Use it to earn 50% extra Experience and Energy from monster killing.,
6102,[no_use],[no_use],
6103,[no_use],[no_use],
6104,[no_use],[no_use],
6105,[no_use],[no_use],
6106,[no_use],[no_use],
6107,[no_use],[no_use],
6108,Newbie Healing Potion,HP increase 120 at once.,
6109,Heaven Thunder Sword,Summon Heaven Thunder Sword to ride.  It can be combined with Emerald to increase move speed and upgrade its shape.,
6110,Purple Charming Sword,Summon Purple Charming Sword to ride.  It can be combined with Emerald to increase move speed and upgrade its shape.,
6111,Lavender Tiger (30 days),Summon Lavender Tiger to ride.  The mount can not be combined to upgrade its Plus Rank.,
6112,[no_use],[no_use],
6113,[no_use],[no_use],
6114,[no_use],[no_use],
6115,[no_use],[no_use],
6116,Adv. Pet Food,Feed pet to increase 10 points of pet happy value. (happy value decreases 1 point in every 10 minutes),
6117,Pith of Energy Stone,The pith obtained by extracting from Energy Stone; a helpful item for secret exercise.,
6118,Occult Berry,An occult berry emitting purple light; a helpful item for secret exercise.,
6119,Instant Healing Potion (lvl 1),"Recover 1500 HP instantly, can be used in battle.",
6120,Instant Return Charm,Use it to return to the closest village/city instantly.  Can be used in battle.,
6121,Aurora Reindeer,Summon Aurora Reindeer to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6122,Lightning Reindeer,Summon Lightning Reindeer to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6123,[no_use],[no_use],
6124,[no_use],[no_use],
6125,[no_use],[no_use],
6126,Elite Magic Bead,"1% possibility of upgrading equipment quality from Golden to Dark Golden.  New one will keep the Level and Energy, but will have random attributes, and its Plus Rank will be reduced 0-2 levels randomly.",
6127,White Tiger Ring,,
6128,White Tiger Amulet,,
6129,[no_use],[no_use],
6130,[no_use],[no_use],
6131,[no_use],[no_use],
6132,Small Ruby Bunch (3 pieces),Click it to get 3 pieces of Small Ruby.,
6133,Small Emerald Bunch (3 pieces),Click it to get 3 pieces of Small Emerald.,
6134,Instant Return Charm,,
6135,Large Ruby Bunch (2 pieces),Click it to get 2 pieces of Large Ruby.,
6136,Large Emerald Bunch (2 pieces),Click it to get 2 pieces of Large Emerald.,
6137,Medium Ruby Bunch (3 pieces),Click it to get 3 pieces of Medium Ruby.,
6138,Medium Emerald Bunch (3 pieces),Click it to get 3 pieces of Medium Emerald.,
6139,Adv. Golden Light Pill,"Pill to increase defense 20%, valid time 60 minutes.",
6140,Adv. Apothecary Pill,"Pill to increase HP upper limit 10%, valid time 60 minutes.",
6141,Fancy Fox,Summon Fancy Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6142,Secret Fox,Summon Secret Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6143,[no_use],[no_use],
6144,Forgiveness Pill (L),Use it to decrease 300 points of PK value.,
6145,Divine Ring,,
6146,Green Dragon Ring,,
6147,White Tiger Ring,,
6148,Healing Ring,,
6149,Meta Scroll of Tiger Handsome,Use it to get a metamorphosis BUFF.  Only for male character.,
6150,Meta Scroll of Tiger Beauty,Use it to get a metamorphosis BUFF.  Only for female character.,
6151,[no_use],[no_use],
6152,[no_use],[no_use],
6153,[no_use],[no_use],
6154,[no_use],[no_use],
6155,[no_use],[no_use],
6156,[no_use],[no_use],
6157,Pet Meta Scroll of Moon Rabbit,Use scroll to change your pet's appearance to Moon Rabbit.,
6158,Bravo Tiger (+40%),Summon Bravo Tiger to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6159,Concentration Exp. Charm,Enhance concentration effect 50%.,
6160,[no_use],[no_use],
6161,[no_use],[no_use],
6162,[no_use],[no_use],
6163,Tiger Enhancement Charm,Can help change the mount loading time from 5 seconds to 2 seconds.,
6164,Kylin Enhancement Charm,Can help change the mount loading time from 5 seconds to 2 seconds.,
6165,Meta Scroll of Blade Bull,Special magic tool only for male character.  Use it to get a metamorphosis BUFF.  Right-click on the BUFF icon to cancel the transforming status.,
6166,Meta Scroll of Sword Cow,Special magic tool only for female character.  Use it to get a metamorphosis BUFF.  Right-click on the BUFF icon to cancel the transforming status.,
6167,Strong Magic Ring,,
6168,Fortune Bag,,
6169,Pneuma Bolus I,100k Exp.,
6170,Pneuma Bolus II,150k Exp.,
6171,Pneuma Bolus III,200k Exp.,
6172,Pneuma Bolus IV,250k Exp.,
6173,Pneuma Bolus V,300k Exp.,
6174,[no_use],[no_use],
6208,Bird's Happiness,"You can use it to cast a Buff on one target.  The Buff increases 1% dodge, lasting 2 hours.",
6209,Super Intelligence Magicstone,"Can be socketed on Talisman or defense gear, increase 11 points of intelligence.  Valid time is 7 days.  It will disappear after merge.",
6210,Super Strength Magicstone,"Can be socketed on Talisman or defense gear, increase 11 points of strength.  Valid time is 7 days.  It will disappear after merge.",
6211,Super Dexterity Magicstone,"Can be socketed on Talisman or defense gear, increase 11 points of dexterity.  Valid time is 7 days.  It will disappear after merge.",
6212,Super Vitality Magicstone,"Can be socketed on Talisman or defense gear, increase 11 points of vitality.  Valid time is 7 days.  It will disappear after merge.",
6213,Super Physical Defense Magicstone,"Can be socketed on defense gear, increase 200 points of physical defense.  Valid time is 7 days.  It will disappear after merge.",
6219,Pet Meta Scroll of Mini Mech Monster,Use scroll to change your pet's appearance to Mini Mech Monster.,
6220,Colorful Crystal,Quest item.,
6221,Consign Limit Reset Scroll,Recover the consign limit to 3.,
6222,Fire Dragon Ball,Mythic ball.,
6223,Earth Dragon Ball,Mythic ball.,
6224,Lightning Dragon Ball,Mythic ball.,
6225,Mutual Quest Envelop,Get mutual quest randomly.,
6226,Mutual Quest Envelop,Get mutual quest randomly.,
6227,Mutual Quest Envelop,Get mutual quest randomly.,
6228,Mutual Quest Envelop,Get mutual quest randomly.,
6229,Mutual Quest Envelop,Get mutual quest randomly.,
6230,Mutual Quest Envelop,Get mutual quest randomly.,
6231,Mutual Quest Bag,Open it to get mutual quest scroll.,
6232,Mutual Quest Bag,Open it to get mutual quest scroll.,
6233,Mutual Quest Bag,Open it to get mutual quest scroll.,
6234,Mutual Quest Bag,Open it to get mutual quest scroll.,
6235,[no_use],[no_use],
6236,Carol Pill of Strength,"Increase 20 points of Strength, lasting 20 minutes.",
6237,Carol Pill of Dexterity,"Increase 20 points of Dexterity, lasting 20 minutes.",
6238,Carol Pill of Intelligence,"Increase 20 points of Intelligence, lasting 20 minutes.",
6239,Carol Pill of Vitality,"Increase 20 points of Vitality, lasting 20 minutes.",
6240,Carol Pill of Speed,"Speed +10%, lasting 20 minutes.",
6241,Carol Pill of All,"Strength +20, Dexterity +20, Intelligence +20, Vitality +20, HP max limit +500, lasting 20 minutes.",
6242,Adv. Carol Pill of All,"Strength +20, Dexterity +20, Intelligence +20, Vitality +20, HP max limit +1000, speed +10%, lasting 4 hours.",
6243,Summon Charm (The Chief of Fierce Bandit),,
6244,Secret Fox (+40%),Summon Secret Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6245,Fancy Fox (+7) Pack,Open it to gain a Fancy Fox with Plus Rank +7.,
6246,Soul Power Symbol,Use it to gain 50 points of Soul Power.,
6247,Soul Power Symbol (for test),Use it to gain 50 points of Soul Power.  CD time: 5 sec.,
6248,Fancy Fox (+40%)(ride to be bound),Summon Fancy Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6249,Secret Fox (+40%)(ride to be bound),Summon Secret Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6250,Bravo Tiger (+40%)(ride to be bound),Summon Bravo Tiger to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6251,[no_use],[no_use],
6252,[no_use],[no_use],
6264,Jade Nanmu Leaf,Quest item.,
6276,Happy Egg,Open it to gain the gifts!,
6277,Gold Egg,Open it to gain the gifts!,
6278,Phoenix Treasure Box,"Open it to gain treasure!  The probability is: Fire Phoenix (x1) 0.5%, Secret Fox (x1) 3.5%, Large Emerald (x3) 23%, Large Emerald (x2) 15%, Large Emerald (x1) 9%, Large Ruby (x3) 25%, Large Ruby (x2) 15%, Large Ruby (x1) 9%. ",
6279,Precious Egg Fragment,Bring luck to the holder.  You can change it to Moon Rabbit for its treasure.,
6280,Twin Fox Pack,Deluxe gift set!  Open it to gain one +4 Fancy Fox and one Nine Tails Fox.,
6281,Fancy Fox,Summon Fancy Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6282,Secret Fox,Summon Secret Fox to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6283,Bravo Tiger,Summon Bravo Tiger to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6284,White Tiger (bound),Summon White Tiger to ride.,
6285,Lavender Tiger (bound),Summon Lavender Tiger to ride. ,
6286,Concentration Pellet (bound),The pellet can be consumed to maintain concentration status.,
6287,Meta Scroll of Boat Panda (bound),,
6288,Medium Emerald Pack (1 piece)(bound),Click it to get 1 piece of Medium Emerald.,
6289,Blue Identify Gem Pack (1 piece)(bound),Click it to get 1 piece of Blue Identify Gem.,
6290,Pet Level Up Book (bound),Use it to make little pet level up.  Pet level need be equal or higher than 10.  You could use it when pet experience is full at current level.,
6291,Phoenix Jackstraw(bound),"Phoenix Jackstraw can be consumed to revive the owner without any experience and energy lost.  The owner will be revived exactly at the present place.  It's invalid to red name character.  It's also invalid in PK.  If the owner has both Phoenix Jackstraw and normal Jackstraw at the same time, it takes priority of using the normal one.",
6292,Return Charm(bound),Use it to return to the closest village/city.,
6293,Concentration Pellet(bound),The pellet can be consumed to maintain concentration status.,
6294,Meta Scroll of Snake Queen(bound),,
6295,Fire Phoenix,Summon Fire Phoenix to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6296,Large Emerald Box (2 pieces),Click it to get 2 pieces of Large Emerald.,
6297,Large Emerald Box (3 pieces),Click it to get 3 pieces of Large Emerald.,
6298,Large Ruby Box (2 pieces),Click it to get 2 pieces of Large Ruby.,
6299,Large Ruby Box (3 pieces),Click it to get 3 pieces of Large Ruby.,
6300,White Tiger,Summon White Tiger to ride.,
6301,Lavender Tiger,Summon Lavender Tiger to ride. ,
6302,White Tiger Pack,Open it to get White Tiger.,
6303,Lavender Tiger Pack,Open it to get Lavender Tiger.,
6304,Golden Dragon,Summon Golden Dragon to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
6305,Cyan Dragon,Summon Cyan Dragon to ride.  The mount can be combined with Emerald to increase move speed and upgrade its shape.,
11117,Item Bag,,
1,Skyline Blade,Skyline Blade,
2,Square Halberd,Square Halberd,
3,Red Potion,Red Potion,
4,Black Luster Sword,,
5,Red Tassel Sword,,
6,Blue Elf Sword,,
7,Raging Fire Sword,,
8,Purple Lightning Sword,,
9,White Flow Sword,,
10,Sun Spirit Sword,,
11,Golden Lizard Sword,,
12,Howling Wind Sword,,
13,Wild Flame Sword,,
14,Iron Water Blade,,
15,Gallop Leap Blade,,
16,Blue Spring Blade,,
17,Cold Moon Blade,,
18,Water Gear Blade,,
19,Hidden Dragon Blade,,
20,Steel Power Blade,,
21,Dragon Spring Blade,,
22,Sea Tide Blade,,
23,Dragon Slaughter Blade,,
24,Black Wood Shovel,,
25,Hundreds Quench Shovel,,
26,Mundane Time Shovel,,
27,Steel Crescent Shovel,,
28,Lion Roaring Shovel,,
29,Tiger Roaring Shovel,,
30,Cloud Rack Shovel,,
31,Open Light Shovel,,
32,Occult Power Shovel,,
33,Giant Master Shovel,,
34,Jade Smash Staff,,
35,Sky Gap Staff,,
36,Tame Dragon Staff,,
37,Tame Tiger Staff,,
38,Golden Buddha Staff,,
39,Demon Killing Staff,,
40,Brahma Staff,,
41,Holy Judgement Staff,,
42,Wonder Tree Staff,,
43,Fatal Power Staff,,
44,Golden Wish Wheel,,
45,Nine Welkin Wheel,,
46,Bright Sky Wheel,,
47,Flee Air Wheel,,
48,Golden Light Wheel,,
49,Triple Silence Wheel,,
50,Thunder Sound Wheel,,
51,Splendid Buddha Wheel,,
52,Naga Treasure Wheel,,
53,Six Positiveness Wheel,,
54,Buddha Smile Pearl,,
55,Sky Centipede Pearl,,
56,Buddha Green Pearl,,
57,Myth Blue Pearl,,
58,Myth Black Pearl,,
59,Shade Thunder Pearl,,
60,Snow Soul Pearl,,
61,Nine Sky Pearl,,
62,Sky Flame Pearl,,
63,Decency Welkin Pearl,,
64,Ice Shield,,
65,Longbrow Needle,,
66,Tao Symbol,,
67,Warm Jade,,
68,Treasure Loop,,
69,Heart Lotus,,
70,Buddha Bone,,
71,Diamond Sutra,,
72,Treasure Leaf,,
73,Wonder Needle,,
74,Purple Cloud,,
75,Purple Cowry,,
76,Green Elf Robe,,
77,Red Fire Robe,,
78,Blue Jade Robe,,
79,Ice Freezing Battle Robe,,
80,Fire Dragon Battle Robe,,
81,Seven Stars Battle Robe,,
82,Four Void Holy Robe,,
83,Real Valiant Holy Robe,,
84,Triple Lucidity Holy Robe,,
85,Green Elf Armguard,,
86,Red Fire Armguard,,
87,Blue Jade Armguard,,
88,Ice Freezing Armguard,,
89,Fire Dragon Armguard,,
90,Seven Stars Armguard,,
91,Four Void Armguard,,
92,Real Valiant Armguard,,
93,Triple Lucidity Armguard,,
94,Green Elf Boots,,
95,Red Fire Boots,,
96,Blue Jade Boots,,
97,Ice Freezing Boots,,
98,Fire Dragon Boots,,
99,Seven Stars Boots,,
100,Four Void Boots,,
101,Real Valiant Boots,,
102,Triple Lucidity Boots,,
103,Grey Cloth Frock,,
104,Commandment Frock,,
105,Sky Drum Frock,,
106,Wild Vision Battle Frock,,
107,Thunder Sound Battle Frock,,
108,Buddha Vigor Battle Frock,,
109,All Heaven Elite Frock,,
110,Arhat Elite Frock,,
111,Five Principle Elite Frock,,
112,Grey Cloth Armguard,,
113,Commandment Armguard,,
114,Sky Drum Armguard,,
115,Wild Vision Armguard,,
116,Thunder Sound Armguard,,
117,Buddha Vigor Armguard,,
118,All Heaven Armguard,,
119,Arhat Armguard,,
120,Five Principle Armguard,,
121,Grey Cloth Boots,,
122,Commandment Boots,,
123,Sky Drum Boots,,
124,Wild Vision Boots,,
125,Thunder Sound Boots,,
126,Buddha Vigor Boots,,
127,All Heaven Boots,,
128,Arhat Boots,,
129,Five Principle Boots,,
130,Rosebush Dress,,
131,Redbud Dress,,
132,Cherry Dress,,
133,Orchid Battle Dress,,
134,Lily Battle Dress,,
135,Willow Battle Dress,,
136,Daphne Elite Dress,,
137,Vanilla Elite Dress,,
138,Lotus Elite Dress,,
139,Rosebush Armguard,,
140,Redbud Armguard,,
141,Cherry Armguard,,
142,Orchid Armguard,,
143,Lily Armguard,,
144,Willow Armguard,,
145,Daphne Armguard,,
146,Vanilla Armguard,,
147,Lotus Armguard,,
148,Rosebush Boots,,
149,Redbud Boots,,
150,Cherry Boots,,
151,Orchid Boots,,
152,Lily Boots,,
153,Willow Boots,,
154,Daphne Boots,,
155,Vanilla Boots,,
156,Lotus Boots,,
157,White Flow Sword 1,,
158,White Flow Sword 2,,
159,Water Gear Blade 1,,
160,Water Gear Blade 2,,
161,Steel Crescent Shovel 1,,
162,Steel Crescent Shovel 2,,
163,Demon Killing Staff 1,,
164,Demon Killing Staff 2,,
165,Golden Light Wheel 1,,
166,Golden Light Wheel 2,,
167,Myth Black Pearl 1,,
168,Myth Black Pearl 2,,
169,Ice Freezing Battle Robe,,
170,Ice Freezing Battle Robe,,
171,Ice Freezing Armguard,,
172,Ice Freezing Armguard,,
173,Ice Freezing Boots,,
174,Ice Freezing Boots,,
175,Wild Vision Battle Frock,,
176,Wild Vision Battle Frock,,
177,Wild Vision Armguard,,
178,Wild Vision Armguard,,
179,Wild Vision Boots,,
180,Wild Vision Boots,,
181,Orchid Battle Dress,,
182,Orchid Battle Dress,,
183,Orchid Armguard,,
184,Orchid Armguard,,
185,Orchid Boots,,
186,Orchid Boots,,
200,Healing Potion (lvl 1),"Function: increase 6 HP every second, lasting 15 seconds, stopped when being attacked or move.",
201,Instant Healing Potion,Increase 300 HP at once.,
202,Mana Potion (lvl 1),"Function: increase 6 mana every second, lasting 15 seconds, stopped when being attacked or move.",
203,Instant Mana Potion,Increase 300 Mana at once.,
204,Geminate Snake Serum,,
205,Huge Snake Head,,
206,Letter,,
207,Apotropaion Letter,,
208,Realgar Hard Drinks,,
209,Charm Chip,,
210,Remove Charm,,
211,Snake Monster Body Fluid,,
212,Mao Tai Keepsake,,
213,Rugate Scrip,,
214,Plum Blossom Crossbow,,
215,Drug,,
216,Smeary Flying Sword,,
217,Rabbit Ears,,
218,Wolf Teeth,,
219,Snake Gallbladder,,
220,Snake Tail,,
221,Lost Things,,
222,Villainies Proof,,
223,Monk Zhi Tong's Badge,,
224,Poison Mushroom,,
225,Herb,,
226,Secret Letter 1,,
227,Secret Letter 2,,
228,Secret Letter 3,,
229,Secret Letter 4,,
230,Green Robe Master Keepsake,,
231,Centipede,,
232,Rabbit Trap,,
233,Mushroom,,
234,Rabbit Meat,,
235,Cat Drugs,Drugs to tempt piggy face cat.,
236,Liquid Medicine Prescription,Magic Prescription Lee Ning wants you send to sky village.,
237,Buddha Bead Chip,,
238,Bamboo Ring,,
239,Tung Ring,,
240,Brass Ring,,
241,Iron Ring,,
242,Silver Ring,,
243,Gold Ring,,
244,Ice Ring,,
245,Fire Ring,,
246,Thousands Clouds Ring,,
247,Myriad Edges Ring,,
248,Fragrant Amulet,,
249,Butterfly Amulet,,
250,Fog Amulet,,
251,Withy Amulet,,
252,Dream Amulet,,
253,Soul Amulet,,
254,Wind Amulet,,
255,Cloud Amulet,,
256,Dark Spirit Amulet,,
257,Brilliant Wave Amulet,,
258,Green Elf Cuff,,
259,Red Fire Cuff,,
260,Blue Jade Cuff,,
261,Ice Freezing Cuff,,
262,Fire Dragon Cuff,,
263,Seven Stars Cuff,,
264,Four Void Cuff,,
265,Real Valiant Cuff,,
266,Triple Lucidity Cuff,,
267,Grey Cloth Cuff,,
268,Commandment Cuff,,
269,Sky Drum Cuff,,
270,Wild Vision Cuff,,
271,Thunder Sound Cuff,,
272,Buddha Vigor Cuff,,
273,All Heaven Cuff,,
274,Arhat Cuff,,
275,Five Principle Cuff,,
276,Rosebush Cuff,,
277,Redbud Cuff,,
278,Cherry Cuff,,
279,Orchid Cuff,,
280,Lily Cuff,,
281,Willow Cuff,,
282,Daphne Cuff,,
283,Vanilla Cuff,,
284,Lotus Cuff,,
285,Green Elf Kneepad,,
286,Red Fire Kneepad,,
287,Blue Jade Kneepad,,
288,Ice Freezing Kneepad,,
289,Fire Dragon Kneepad,,
290,Seven Stars Kneepad,,
291,Four Void Kneepad,,
292,Real Valiant Kneepad,,
293,Triple Lucidity Kneepad,,
294,Grey Cloth Kneepad,,
295,Commandment Kneepad,,
296,Sky Drum Kneepad,,
297,Wild Vision Kneepad,,
298,Thunder Sound Kneepad,,
299,Buddha Vigor Kneepad,,
300,All Heaven Kneepad,,
301,Arhat Kneepad,,
302,Five Principle Kneepad,,
303,Rosebush Kneepad,,
304,Redbud Kneepad,,
305,Cherry Kneepad,,
306,Orchid Kneepad,,
307,Lily Kneepad,,
308,Willow Kneepad,,
309,Daphne Kneepad,,
310,Vanilla Kneepad,,
311,Lotus Kneepad,,
