ID,Name,Desc
5000,Woofi Grass,Quest item.
5001,Cure Cream,Quest item.
5002,Cold Fragrant Pill,Quest item.
5003,Happy Powder,Quest item.
5004,Happy Powder,
5005,Tool Box,Quest item.
5006,Sky Jade Sword,Quest item.
5007,Pole Stone,Quest item.
5008,Yang Needle,
5009,Four Leaf Red Lotus,Quest item.
5010,Secret Golden Drug,Quest item.
5011,Lustration Powder,
5012,Wild Fruit,Quest item.
5013,Fish,Quest item.
5014,Fresh Fish,Quest item.
5015,Bamboo Pole,Quest item.
5016,Pheasant,Quest item.
5017,Grain Bag,Quest item.
5018,Chicken Soup,Quest item.
5019,Lantern,
5020,Bell,Quest item.
5021,Candied Hawthorn,Quest item.
5022,Pinwheel,Quest item.
5023,Fireworks,Quest item.
5024,Poisonous Feather,Quest item.
5025,Hairpin,Quest item.
9812,Red Eye,Quest item.
