程序导标记，不用翻译,,
STRID,LAN,Remark
traffic_station_xueshenfu,Blood Palace,
traffic_station_jingshiyuyingdi,Rock Valley Camp,
traffic_station_duanbiya,Arm Broken Bluff,
sn001_yixingxianzhu,,
sn001_sixingxianzhu,,
sn001_sanxingxianzhu,,
sn001_erxingxianzhu,,
sn001_dici,Mando Area,
Scenestable_youanmilin,Murk Woods,
Scenestable_xuanshizhijie,Dark Stone,
npc_6325,Battle Master,
npc_5695,Ghost Flame,
npc_5694,Ghost Flame,
npc_5693,Bone Melting Devil,
npc_5692,Elite Bone Melting Devil,
npc_5691,Elite Wing Man,
npc_5690,Elite Blade Soul,
npc_5689,Elite Erratic Soul,
npc_5688,Yae Pioneer,
npc_5687,Yae Pioneer,
npc_5686,Yae Pioneer,
npc_5685,Yae Pioneer,
npc_5684,Cinbo,
npc_5683,Cinbo,
npc_5682,Huai-fang,
npc_5681,Linzo,
npc_5680,,
npc_5679,,
npc_5678,,
npc_5677,Teleport Priest,
npc_5676,Teleport Priest,
npc_5675,Gold Teeth Patriarch,
npc_5674,Yae Pioneer,
npc_5673,Yae Sergeant,
npc_5672,Yae Priest,
npc_5671,Priest Soul,
npc_5670,Yae Warrior,
npc_5488,Guild Registration Card,
npc_5487,Lightning Dragon Ball,
npc_5486,Earth Dragon Ball,
npc_5485,Fire Dragon Ball,
npc_5483,Mount Admin,
npc_5482,Outgoing Apothecary,
npc_5481,Apothecary Lee,
npc_5480,Hunter Hun,
npc_5479,Hunter's Wife,
npc_5478,Hunter Zhang,
npc_5475,Soul of Eight Demons,
npc_5474,Soul of Ice Mirror Faerie,
npc_5473,Soul of Buddhist Monk Purple Moon,
npc_5472,Internal Guarder,
npc_5471,Red Flower Guarder,
npc_5470,Black Wind Guarder,
npc_5469,Mutual Quest Man,
npc_5468,Pneuma Bolus Man,
npc_5467,Soul Power Quest Man,
npc_5466,Gem Inlay Admin,
npc_5462,Super Machine Monster,
npc_5460,All corrupted monsters in Simen Mountain,
npc_5459,[no_use],
npc_5457,Consign Quest Man,
npc_5456,[no_use],
npc_5455,Gem Trader,
npc_5452,Happiness Gate,
npc_5451,Happiness Gate,
npc_5450,Lucky Man,
npc_5442,South Border Chest,
npc_5441,Doo Dragon,
npc_5440,Mando Faerie,
npc_5439,Six-ear Monkey,
npc_5436,Soul of King's,
npc_5435,Bound Gold Admin,
npc_5434,Little Onion,
npc_5419,Pet Merchant,
npc_2079,Transport Fay,
npc_2078,Transport Fay,
npc_2077,Transport Fay,
msg_sj_shop_promotion_text,[no_use],
msg_shuijin,[no_use],
item6156use,[no_use],
item6156,[no_use],
ip_vn086,[no_use],
ip_vn085,[no_use],
ip_vn084,[no_use],
ip_vn083,[no_use],
ip_vn082,[no_use],
ip_vn081,[no_use],
help_914_title,Finish Quest,
help_914_fail_1,"Click ""Accomplish Quest""",
help_914_desc,"Click the quest ""Go Down of the Mountain"" to check details.  Finish the quest and get rewards.",
help_913_title,Open Finished Quest window,
help_913_fail_1,"Click ""Go Down the Mountain""",
help_913_desc,"Please click ""Go Down the Mountain"" to finish the quest and get your rewards.",
help_912_title,Talk to Quest NPC to Report Quest (2),
help_912_desc,"Right click to talk to NPC and click the green quest name ""Go Down the Mountain"" below ""Quests could be finished"" to get rewards.",
help_911_title,Talk to Quest NPC to Report Quest (1),
help_911_fail_1,"You can close this window now.  Villager is just near around, please report quest to him.",
help_911_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_910_title,Quest Notify Spot,
help_910_fail_2,"Click the green NPC name ""Villager"" below the ""Quest Notify Spot"" to auto-path to the destination.",
